Time                           Lat
2022-01-12/04:54:00         -76.68
2022-01-12/04:55:00         -76.68
2022-01-12/04:56:00         -76.68
2022-01-12/04:57:00         -76.67
2022-01-12/04:58:00         -76.67
2022-01-12/04:59:00         -76.66
2022-01-12/05:00:00         -76.65
2022-01-12/05:01:00         -76.64
2022-01-12/05:02:00         -76.63
2022-01-12/05:03:00         -76.62
2022-01-12/05:04:00         -76.61
2022-01-12/05:05:00         -76.59
2022-01-12/05:06:00         -76.57
2022-01-12/05:07:00         -76.56
2022-01-12/05:08:00         -76.54
2022-01-12/05:09:00         -76.52
2022-01-12/05:10:00         -76.50
2022-01-12/05:11:00         -76.47
2022-01-12/05:12:00         -76.45
2022-01-12/05:13:00         -76.43
2022-01-12/05:14:00         -76.40
2022-01-12/05:15:00         -76.38
2022-01-12/05:16:00         -76.35
2022-01-12/05:17:00         -76.32
2022-01-12/05:18:00         -76.29
2022-01-12/05:19:00         -76.26
2022-01-12/05:20:00         -76.23
2022-01-12/05:21:00         -76.20
2022-01-12/05:22:00         -76.17
2022-01-12/05:23:00         -76.14
2022-01-12/05:24:00         -76.11
2022-01-12/05:25:00         -76.08
2022-01-12/05:26:00         -76.04
2022-01-12/05:27:00         -76.01
2022-01-12/05:28:00         -75.98
2022-01-12/05:29:00         -75.94
2022-01-12/05:30:00         -75.91
2022-01-12/05:31:00         -75.87
2022-01-12/05:32:00         -75.84
2022-01-12/05:33:00         -75.80
2022-01-12/05:34:00         -75.77
2022-01-12/05:35:00         -75.73
2022-01-12/05:36:00         -75.70
2022-01-12/05:37:00         -75.66
2022-01-12/05:38:00         -75.62
2022-01-12/05:39:00         -75.59
2022-01-12/05:40:00         -75.55
2022-01-12/05:41:00         -75.51
2022-01-12/05:42:00         -75.47
2022-01-12/05:43:00         -75.44
2022-01-12/05:44:00         -75.40
2022-01-12/05:45:00         -75.36
2022-01-12/05:46:00         -75.32
2022-01-12/05:47:00         -75.29
2022-01-12/05:48:00         -75.25
2022-01-12/05:49:00         -75.21
2022-01-12/05:50:00         -75.17
2022-01-12/05:51:00         -75.13
2022-01-12/05:52:00         -75.09
2022-01-12/05:53:00         -75.05
2022-01-12/05:54:00         -75.02
2022-01-12/05:55:00         -74.98
2022-01-12/05:56:00         -74.94
2022-01-12/05:57:00         -74.90
2022-01-12/05:58:00         -74.86
2022-01-12/05:59:00         -74.82
2022-01-12/06:00:00         -74.78
2022-01-12/06:01:00         -74.74
2022-01-12/06:02:00         -74.70
2022-01-12/06:03:00         -74.66
2022-01-12/06:04:00         -74.62
2022-01-12/06:05:00         -74.58
2022-01-12/06:06:00         -74.54
2022-01-12/06:07:00         -74.50
2022-01-12/06:08:00         -74.46
2022-01-12/06:09:00         -74.42
2022-01-12/06:10:00         -74.38
