Time                           Lat
2022-01-12/04:16:00         -73.31
2022-01-12/04:17:00         -73.42
2022-01-12/04:18:00         -73.53
2022-01-12/04:19:00         -73.63
2022-01-12/04:20:00         -73.74
2022-01-12/04:21:00         -73.84
2022-01-12/04:22:00         -73.95
2022-01-12/04:23:00         -74.05
2022-01-12/04:24:00         -74.15
2022-01-12/04:25:00         -74.26
2022-01-12/04:26:00         -74.36
2022-01-12/04:27:00         -74.46
2022-01-12/04:28:00         -74.56
2022-01-12/04:29:00         -74.66
2022-01-12/04:30:00         -74.76
2022-01-12/04:31:00         -74.86
2022-01-12/04:32:00         -74.96
2022-01-12/04:33:00         -75.06
2022-01-12/04:34:00         -75.15
2022-01-12/04:35:00         -75.25
2022-01-12/04:36:00         -75.35
2022-01-12/04:37:00         -75.44
2022-01-12/04:38:00         -75.54
2022-01-12/04:39:00         -75.63
2022-01-12/04:40:00         -75.73
2022-01-12/04:41:00         -75.82
2022-01-12/04:42:00         -75.92
2022-01-12/04:43:00         -76.01
2022-01-12/04:44:00         -76.10
2022-01-12/04:45:00         -76.20
2022-01-12/04:46:00         -76.29
2022-01-12/04:47:00         -76.38
2022-01-12/04:48:00         -76.47
2022-01-12/04:49:00         -76.56
2022-01-12/04:50:00         -76.65
2022-01-12/04:51:00         -76.74
2022-01-12/04:52:00         -76.83
2022-01-12/04:53:00         -76.92
2022-01-12/04:54:00         -77.01
2022-01-12/04:55:00         -77.10
2022-01-12/04:56:00         -77.19
2022-01-12/04:57:00         -77.28
2022-01-12/04:58:00         -77.37
2022-01-12/04:59:00         -77.45
2022-01-12/05:00:00         -77.54
2022-01-12/05:01:00         -77.63
2022-01-12/05:02:00         -77.71
2022-01-12/05:03:00         -77.80
2022-01-12/05:04:00         -77.89
2022-01-12/05:05:00         -77.97
2022-01-12/05:06:00         -78.06
2022-01-12/05:07:00         -78.14
2022-01-12/05:08:00         -78.22
2022-01-12/05:09:00         -78.31
2022-01-12/05:10:00         -78.39
2022-01-12/05:11:00         -78.47
2022-01-12/05:12:00         -78.56
2022-01-12/05:13:00         -78.64
2022-01-12/05:14:00         -78.72
2022-01-12/05:15:00         -78.80
2022-01-12/05:16:00         -78.88
2022-01-12/05:17:00         -78.96
2022-01-12/05:18:00         -79.03
2022-01-12/05:19:00         -79.11
2022-01-12/05:20:00         -79.19
2022-01-12/05:21:00         -79.26
2022-01-12/05:22:00         -79.33
2022-01-12/05:23:00         -79.41
2022-01-12/05:24:00         -79.48
2022-01-12/05:25:00         -79.55
2022-01-12/05:26:00         -79.62
2022-01-12/05:27:00         -79.69
2022-01-12/05:28:00         -79.75
2022-01-12/05:29:00         -79.82
2022-01-12/05:30:00         -79.88
2022-01-12/05:31:00         -79.94
2022-01-12/05:32:00         -80.00
2022-01-12/05:33:00         -80.06
2022-01-12/05:34:00         -80.12
2022-01-12/05:35:00         -80.17
2022-01-12/05:36:00         -80.22
2022-01-12/05:37:00         -80.27
2022-01-12/05:38:00         -80.32
2022-01-12/05:39:00         -80.37
2022-01-12/05:40:00         -80.41
2022-01-12/05:41:00         -80.45
2022-01-12/05:42:00         -80.49
2022-01-12/05:43:00         -80.53
2022-01-12/05:44:00         -80.56
2022-01-12/05:45:00         -80.59
2022-01-12/05:46:00         -80.62
2022-01-12/05:47:00         -80.65
2022-01-12/05:48:00         -80.68
2022-01-12/05:49:00         -80.70
2022-01-12/05:50:00         -80.72
2022-01-12/05:51:00         -80.73
2022-01-12/05:52:00         -80.75
2022-01-12/05:53:00         -80.76
2022-01-12/05:54:00         -80.77
2022-01-12/05:55:00         -80.78
2022-01-12/05:56:00         -80.78
2022-01-12/05:57:00         -80.78
2022-01-12/05:58:00         -80.78
2022-01-12/05:59:00         -80.78
2022-01-12/06:00:00         -80.78
2022-01-12/06:01:00         -80.77
2022-01-12/06:02:00         -80.76
2022-01-12/06:03:00         -80.75
2022-01-12/06:04:00         -80.73
2022-01-12/06:05:00         -80.72
2022-01-12/06:06:00         -80.70
2022-01-12/06:07:00         -80.68
2022-01-12/06:08:00         -80.66
2022-01-12/06:09:00         -80.64
2022-01-12/06:10:00         -80.61
2022-01-12/06:11:00         -80.59
2022-01-12/06:12:00         -80.56
2022-01-12/06:13:00         -80.53
2022-01-12/06:14:00         -80.50
2022-01-12/06:15:00         -80.47
2022-01-12/06:16:00         -80.43
2022-01-12/06:17:00         -80.40
2022-01-12/06:18:00         -80.36
2022-01-12/06:19:00         -80.33
2022-01-12/06:20:00         -80.29
2022-01-12/06:21:00         -80.25
2022-01-12/06:22:00         -80.21
2022-01-12/06:23:00         -80.17
2022-01-12/06:24:00         -80.13
2022-01-12/06:25:00         -80.08
2022-01-12/06:26:00         -80.04
2022-01-12/06:27:00         -80.00
2022-01-12/06:28:00         -79.95
2022-01-12/06:29:00         -79.91
2022-01-12/06:30:00         -79.86
2022-01-12/06:31:00         -79.82
2022-01-12/06:32:00         -79.77
2022-01-12/06:33:00         -79.72
2022-01-12/06:34:00         -79.68
2022-01-12/06:35:00         -79.63
2022-01-12/06:36:00         -79.58
2022-01-12/06:37:00         -79.53
2022-01-12/06:38:00         -79.48
2022-01-12/06:39:00         -79.43
2022-01-12/06:40:00         -79.38
2022-01-12/06:41:00         -79.33
2022-01-12/06:42:00         -79.28
2022-01-12/06:43:00         -79.23
2022-01-12/06:44:00         -79.18
2022-01-12/06:45:00         -79.13
2022-01-12/06:46:00         -79.08
2022-01-12/06:47:00         -79.03
2022-01-12/06:48:00         -78.98
2022-01-12/06:49:00         -78.92
2022-01-12/06:50:00         -78.87
2022-01-12/06:51:00         -78.82
2022-01-12/06:52:00         -78.77
2022-01-12/06:53:00         -78.71
2022-01-12/06:54:00         -78.66
2022-01-12/06:55:00         -78.61
2022-01-12/06:56:00         -78.55
2022-01-12/06:57:00         -78.50
2022-01-12/06:58:00         -78.45
2022-01-12/06:59:00         -78.39
2022-01-12/07:00:00         -78.34
2022-01-12/07:01:00         -78.29
2022-01-12/07:02:00         -78.23
2022-01-12/07:03:00         -78.18
2022-01-12/07:04:00         -78.12
2022-01-12/07:05:00         -78.07
2022-01-12/07:06:00         -78.01
2022-01-12/07:07:00         -77.96
2022-01-12/07:08:00         -77.90
2022-01-12/07:09:00         -77.85
2022-01-12/07:10:00         -77.79
2022-01-12/07:11:00         -77.73
2022-01-12/07:12:00         -77.68
2022-01-12/07:13:00         -77.62
2022-01-12/07:14:00         -77.56
2022-01-12/07:15:00         -77.51
2022-01-12/07:16:00         -77.45
2022-01-12/07:17:00         -77.39
2022-01-12/07:18:00         -77.33
2022-01-12/07:19:00         -77.27
2022-01-12/07:20:00         -77.22
2022-01-12/07:21:00         -77.16
2022-01-12/07:22:00         -77.10
2022-01-12/07:23:00         -77.04
2022-01-12/07:24:00         -76.98
2022-01-12/07:25:00         -76.92
2022-01-12/07:26:00         -76.86
2022-01-12/07:27:00         -76.80
2022-01-12/07:28:00         -76.74
2022-01-12/07:29:00         -76.68
2022-01-12/07:30:00         -76.62
2022-01-12/07:31:00         -76.55
2022-01-12/07:32:00         -76.49
2022-01-12/07:33:00         -76.43
2022-01-12/07:34:00         -76.37
2022-01-12/07:35:00         -76.31
2022-01-12/07:36:00         -76.24
2022-01-12/07:37:00         -76.18
2022-01-12/07:38:00         -76.12
2022-01-12/07:39:00         -76.05
2022-01-12/07:40:00         -75.99
2022-01-12/07:41:00         -75.93
2022-01-12/07:42:00         -75.86
2022-01-12/07:43:00         -75.80
2022-01-12/07:44:00         -75.73
2022-01-12/07:45:00         -75.67
2022-01-12/07:46:00         -75.60
2022-01-12/07:47:00         -75.54
2022-01-12/07:48:00         -75.47
2022-01-12/07:49:00         -75.41
2022-01-12/07:50:00         -75.34
