Time                           Lon
2022-01-12/06:26:00          224.4
2022-01-12/06:27:00          225.2
2022-01-12/06:28:00          226.1
2022-01-12/06:29:00          227.0
2022-01-12/06:30:00          227.8
2022-01-12/06:31:00          228.7
2022-01-12/06:32:00          229.5
2022-01-12/06:33:00          230.3
2022-01-12/06:34:00          231.1
2022-01-12/06:35:00          231.9
2022-01-12/06:36:00          232.7
2022-01-12/06:37:00          233.5
2022-01-12/06:38:00          234.3
2022-01-12/06:39:00          235.1
2022-01-12/06:40:00          235.9
2022-01-12/06:41:00          236.6
2022-01-12/06:42:00          237.4
2022-01-12/06:43:00          238.2
2022-01-12/06:44:00          238.9
2022-01-12/06:45:00          239.7
2022-01-12/06:46:00          240.4
2022-01-12/06:47:00          241.1
2022-01-12/06:48:00          241.9
2022-01-12/06:49:00          242.6
2022-01-12/06:50:00          243.3
2022-01-12/06:51:00          244.0
2022-01-12/06:52:00          244.7
2022-01-12/06:53:00          245.4
2022-01-12/06:54:00          246.1
2022-01-12/06:55:00          246.8
2022-01-12/06:56:00          247.5
2022-01-12/06:57:00          248.2
2022-01-12/06:58:00          248.9
2022-01-12/06:59:00          249.6
2022-01-12/07:00:00          250.2
2022-01-12/07:01:00          250.9
2022-01-12/07:02:00          251.6
2022-01-12/07:03:00          252.2
2022-01-12/07:04:00          252.9
2022-01-12/07:05:00          253.6
2022-01-12/07:06:00          254.2
2022-01-12/07:07:00          254.9
2022-01-12/07:08:00          255.5
2022-01-12/07:09:00          256.2
2022-01-12/07:10:00          256.8
2022-01-12/07:11:00          257.5
2022-01-12/07:12:00          258.1
2022-01-12/07:13:00          258.7
2022-01-12/07:14:00          259.4
2022-01-12/07:15:00          260.0
2022-01-12/07:16:00          260.6
2022-01-12/07:17:00          261.2
2022-01-12/07:18:00          261.9
2022-01-12/07:19:00          262.5
2022-01-12/07:20:00          263.1
2022-01-12/07:21:00          263.7
2022-01-12/07:22:00          264.3
2022-01-12/07:23:00          264.9
2022-01-12/07:24:00          265.5
2022-01-12/07:25:00          266.1
2022-01-12/07:26:00          266.7
2022-01-12/07:27:00          267.3
2022-01-12/07:28:00          267.9
2022-01-12/07:29:00          268.5
2022-01-12/07:30:00          269.1
2022-01-12/07:31:00          269.7
2022-01-12/07:32:00          270.3
2022-01-12/07:33:00          270.9
2022-01-12/07:34:00          271.5
2022-01-12/07:35:00          272.0
2022-01-12/07:36:00          272.6
2022-01-12/07:37:00          273.2
2022-01-12/07:38:00          273.8
2022-01-12/07:39:00          274.3
2022-01-12/07:40:00          274.9
2022-01-12/07:41:00          275.5
2022-01-12/07:42:00          276.0
2022-01-12/07:43:00          276.6
2022-01-12/07:44:00          277.1
2022-01-12/07:45:00          277.7
2022-01-12/07:46:00          278.2
2022-01-12/07:47:00          278.8
2022-01-12/07:48:00          279.3
2022-01-12/07:49:00          279.9
2022-01-12/07:50:00          280.4
2022-01-12/07:51:00          281.0
2022-01-12/07:52:00          281.5
2022-01-12/07:53:00          282.0
2022-01-12/07:54:00          282.6
2022-01-12/07:55:00          283.1
2022-01-12/07:56:00          283.6
2022-01-12/07:57:00          284.1
2022-01-12/07:58:00          284.7
2022-01-12/07:59:00          285.2
2022-01-12/08:00:00          285.7
2022-01-12/08:01:00          286.2
2022-01-12/08:02:00          286.7
2022-01-12/08:03:00          287.2
2022-01-12/08:04:00          287.8
2022-01-12/08:05:00          288.3
2022-01-12/08:06:00          288.8
2022-01-12/08:07:00          289.3
2022-01-12/08:08:00          289.8
2022-01-12/08:09:00          290.3
2022-01-12/08:10:00          290.8
2022-01-12/08:11:00          291.3
2022-01-12/08:12:00          291.8
2022-01-12/08:13:00          292.3
2022-01-12/08:14:00          292.7
2022-01-12/08:15:00          293.2
2022-01-12/08:16:00          293.7
2022-01-12/08:17:00          294.2
2022-01-12/08:18:00          294.7
2022-01-12/08:19:00          295.2
2022-01-12/08:20:00          295.7
2022-01-12/08:21:00          296.1
2022-01-12/08:22:00          296.6
2022-01-12/08:23:00          297.1
2022-01-12/08:24:00          297.6
2022-01-12/08:25:00          298.0
2022-01-12/08:26:00          298.5
2022-01-12/08:27:00          299.0
2022-01-12/08:28:00          299.5
2022-01-12/08:29:00          299.9
2022-01-12/08:30:00          300.4
2022-01-12/08:31:00          300.9
2022-01-12/08:32:00          301.3
2022-01-12/08:33:00          301.8
2022-01-12/08:34:00          302.3
2022-01-12/08:35:00          302.7
2022-01-12/08:36:00          303.2
2022-01-12/08:37:00          303.6
2022-01-12/08:38:00          304.1
2022-01-12/08:39:00          304.6
2022-01-12/08:40:00          305.0
2022-01-12/08:41:00          305.5
2022-01-12/08:42:00          305.9
2022-01-12/08:43:00          306.4
2022-01-12/08:44:00          306.9
2022-01-12/08:45:00          307.3
2022-01-12/08:46:00          307.8
2022-01-12/08:47:00          308.2
2022-01-12/08:48:00          308.7
2022-01-12/08:49:00          309.1
2022-01-12/08:50:00          309.6
2022-01-12/08:51:00          310.0
2022-01-12/08:52:00          310.5
2022-01-12/08:53:00          310.9
2022-01-12/08:54:00          311.4
2022-01-12/08:55:00          311.8
2022-01-12/08:56:00          312.3
2022-01-12/08:57:00          312.7
2022-01-12/08:58:00          313.2
2022-01-12/08:59:00          313.6
2022-01-12/09:00:00          314.1
2022-01-12/09:01:00          314.5
2022-01-12/09:02:00          315.0
2022-01-12/09:03:00          315.4
2022-01-12/09:04:00          315.9
2022-01-12/09:05:00          316.3
2022-01-12/09:06:00          316.8
2022-01-12/09:07:00          317.2
2022-01-12/09:08:00          317.7
2022-01-12/09:09:00          318.1
2022-01-12/09:10:00          318.6
2022-01-12/09:11:00          319.0
2022-01-12/09:12:00          319.5
2022-01-12/09:13:00          319.9
2022-01-12/09:14:00          320.4
2022-01-12/09:15:00          320.8
2022-01-12/09:16:00          321.3
2022-01-12/09:17:00          321.7
2022-01-12/09:18:00          322.1
2022-01-12/09:19:00          322.6
2022-01-12/09:20:00          323.0
2022-01-12/09:21:00          323.5
2022-01-12/09:22:00          323.9
2022-01-12/09:23:00          324.4
2022-01-12/09:24:00          324.8
2022-01-12/09:25:00          325.3
2022-01-12/09:26:00          325.7
2022-01-12/09:27:00          326.1
2022-01-12/09:28:00          326.6
2022-01-12/09:29:00          327.0
2022-01-12/09:30:00          327.5
2022-01-12/09:31:00          327.9
2022-01-12/09:32:00          328.4
2022-01-12/09:33:00          328.8
2022-01-12/09:34:00          329.3
2022-01-12/09:35:00          329.7
2022-01-12/09:36:00          330.1
2022-01-12/09:37:00          330.6
2022-01-12/09:38:00          331.0
2022-01-12/09:39:00          331.5
2022-01-12/09:40:00          331.9
2022-01-12/09:41:00          332.4
2022-01-12/09:42:00          332.8
2022-01-12/09:43:00          333.2
2022-01-12/09:44:00          333.7
2022-01-12/09:45:00          334.1
2022-01-12/09:46:00          334.6
2022-01-12/09:47:00          335.0
2022-01-12/09:48:00          335.4
2022-01-12/09:49:00          335.9
2022-01-12/09:50:00          336.3
2022-01-12/09:51:00          336.8
2022-01-12/09:52:00          337.2
2022-01-12/09:53:00          337.6
2022-01-12/09:54:00          338.1
2022-01-12/09:55:00          338.5
2022-01-12/09:56:00          339.0
2022-01-12/09:57:00          339.4
2022-01-12/09:58:00          339.8
2022-01-12/09:59:00          340.3
2022-01-12/10:00:00          340.7
2022-01-12/10:01:00          341.2
2022-01-12/10:02:00          341.6
2022-01-12/10:03:00          342.0
2022-01-12/10:04:00          342.5
2022-01-12/10:05:00          342.9
2022-01-12/10:06:00          343.4
2022-01-12/10:07:00          343.8
2022-01-12/10:08:00          344.2
2022-01-12/10:09:00          344.7
2022-01-12/10:10:00          345.1
2022-01-12/10:11:00          345.6
2022-01-12/10:12:00          346.0
