Time                           Lon
2022-01-12/07:33:00          343.5
2022-01-12/07:34:00          343.9
2022-01-12/07:35:00          344.4
2022-01-12/07:36:00          344.8
2022-01-12/07:37:00          345.2
2022-01-12/07:38:00          345.7
2022-01-12/07:39:00          346.1
2022-01-12/07:40:00          346.6
2022-01-12/07:41:00          347.0
2022-01-12/07:42:00          347.5
2022-01-12/07:43:00          347.9
2022-01-12/07:44:00          348.4
2022-01-12/07:45:00          348.8
2022-01-12/07:46:00          349.3
2022-01-12/07:47:00          349.7
2022-01-12/07:48:00          350.2
2022-01-12/07:49:00          350.6
2022-01-12/07:50:00          351.0
2022-01-12/07:51:00          351.5
2022-01-12/07:52:00          351.9
2022-01-12/07:53:00          352.4
2022-01-12/07:54:00          352.8
2022-01-12/07:55:00          353.3
2022-01-12/07:56:00          353.7
2022-01-12/07:57:00          354.2
2022-01-12/07:58:00          354.6
2022-01-12/07:59:00          355.1
2022-01-12/08:00:00          355.5
2022-01-12/08:01:00          356.0
2022-01-12/08:02:00          356.4
2022-01-12/08:03:00          356.9
2022-01-12/08:04:00          357.3
2022-01-12/08:05:00          357.8
2022-01-12/08:06:00          358.2
2022-01-12/08:07:00          358.6
2022-01-12/08:08:00          359.1
2022-01-12/08:09:00          359.5
2022-01-12/08:10:00          360.0
2022-01-12/08:11:00         0.4416
2022-01-12/08:12:00         0.8903
2022-01-12/08:13:00          1.339
2022-01-12/08:14:00          1.788
2022-01-12/08:15:00          2.238
2022-01-12/08:16:00          2.687
2022-01-12/08:17:00          3.137
2022-01-12/08:18:00          3.587
2022-01-12/08:19:00          4.037
2022-01-12/08:20:00          4.487
2022-01-12/08:21:00          4.938
2022-01-12/08:22:00          5.389
2022-01-12/08:23:00          5.840
2022-01-12/08:24:00          6.292
2022-01-12/08:25:00          6.744
2022-01-12/08:26:00          7.196
2022-01-12/08:27:00          7.649
2022-01-12/08:28:00          8.102
2022-01-12/08:29:00          8.555
2022-01-12/08:30:00          9.008
2022-01-12/08:31:00          9.462
2022-01-12/08:32:00          9.917
2022-01-12/08:33:00          10.37
2022-01-12/08:34:00          10.83
2022-01-12/08:35:00          11.28
2022-01-12/08:36:00          11.74
2022-01-12/08:37:00          12.19
2022-01-12/08:38:00          12.65
2022-01-12/08:39:00          13.11
2022-01-12/08:40:00          13.57
2022-01-12/08:41:00          14.02
2022-01-12/08:42:00          14.48
2022-01-12/08:43:00          14.94
2022-01-12/08:44:00          15.40
2022-01-12/08:45:00          15.86
2022-01-12/08:46:00          16.32
2022-01-12/08:47:00          16.78
2022-01-12/08:48:00          17.24
2022-01-12/08:49:00          17.70
2022-01-12/08:50:00          18.17
2022-01-12/08:51:00          18.63
2022-01-12/08:52:00          19.09
2022-01-12/08:53:00          19.55
2022-01-12/08:54:00          20.02
2022-01-12/08:55:00          20.48
2022-01-12/08:56:00          20.95
2022-01-12/08:57:00          21.41
2022-01-12/08:58:00          21.88
2022-01-12/08:59:00          22.34
2022-01-12/09:00:00          22.81
2022-01-12/09:01:00          23.28
2022-01-12/09:02:00          23.74
2022-01-12/09:03:00          24.21
2022-01-12/09:04:00          24.68
2022-01-12/09:05:00          25.15
2022-01-12/09:06:00          25.61
2022-01-12/09:07:00          26.08
2022-01-12/09:08:00          26.55
2022-01-12/09:09:00          27.02
2022-01-12/09:10:00          27.49
2022-01-12/09:11:00          27.96
2022-01-12/09:12:00          28.42
2022-01-12/09:13:00          28.89
2022-01-12/09:14:00          29.36
2022-01-12/09:15:00          29.83
2022-01-12/09:16:00          30.30
2022-01-12/09:17:00          30.77
2022-01-12/09:18:00          31.23
2022-01-12/09:19:00          31.70
2022-01-12/09:20:00          32.17
2022-01-12/09:21:00          32.63
2022-01-12/09:22:00          33.10
2022-01-12/09:23:00          33.56
2022-01-12/09:24:00          34.03
2022-01-12/09:25:00          34.49
2022-01-12/09:26:00          34.96
2022-01-12/09:27:00          35.42
2022-01-12/09:28:00          35.88
2022-01-12/09:29:00          36.34
2022-01-12/09:30:00          36.80
2022-01-12/09:31:00          37.26
2022-01-12/09:32:00          37.71
2022-01-12/09:33:00          38.17
2022-01-12/09:34:00          38.62
2022-01-12/09:35:00          39.07
2022-01-12/09:36:00          39.53
2022-01-12/09:37:00          39.98
2022-01-12/09:38:00          40.42
2022-01-12/09:39:00          40.87
2022-01-12/09:40:00          41.32
2022-01-12/09:41:00          41.76
2022-01-12/09:42:00          42.20
2022-01-12/09:43:00          42.64
2022-01-12/09:44:00          43.08
2022-01-12/09:45:00          43.51
2022-01-12/09:46:00          43.95
2022-01-12/09:47:00          44.38
2022-01-12/09:48:00          44.81
2022-01-12/09:49:00          45.24
2022-01-12/09:50:00          45.67
2022-01-12/09:51:00          46.09
2022-01-12/09:52:00          46.51
2022-01-12/09:53:00          46.93
2022-01-12/09:54:00          47.35
2022-01-12/09:55:00          47.76
2022-01-12/09:56:00          48.18
2022-01-12/09:57:00          48.59
2022-01-12/09:58:00          49.00
2022-01-12/09:59:00          49.41
2022-01-12/10:00:00          49.81
