Time                           Lat
2022-01-12/05:54:00         -75.67
2022-01-12/05:55:00         -75.60
2022-01-12/05:56:00         -75.54
2022-01-12/05:57:00         -75.47
2022-01-12/05:58:00         -75.40
2022-01-12/05:59:00         -75.34
2022-01-12/06:00:00         -75.27
2022-01-12/06:01:00         -75.21
2022-01-12/06:02:00         -75.14
2022-01-12/06:03:00         -75.08
2022-01-12/06:04:00         -75.01
2022-01-12/06:05:00         -74.95
2022-01-12/06:06:00         -74.88
2022-01-12/06:07:00         -74.82
2022-01-12/06:08:00         -74.75
2022-01-12/06:09:00         -74.69
2022-01-12/06:10:00         -74.63
2022-01-12/06:11:00         -74.56
2022-01-12/06:12:00         -74.50
2022-01-12/06:13:00         -74.44
2022-01-12/06:14:00         -74.37
2022-01-12/06:15:00         -74.31
2022-01-12/06:16:00         -74.25
2022-01-12/06:17:00         -74.19
2022-01-12/06:18:00         -74.13
2022-01-12/06:19:00         -74.07
2022-01-12/06:20:00         -74.01
2022-01-12/06:21:00         -73.95
2022-01-12/06:22:00         -73.89
2022-01-12/06:23:00         -73.83
2022-01-12/06:24:00         -73.77
2022-01-12/06:25:00         -73.71
2022-01-12/06:26:00         -73.65
2022-01-12/06:27:00         -73.59
2022-01-12/06:28:00         -73.53
2022-01-12/06:29:00         -73.47
2022-01-12/06:30:00         -73.41
2022-01-12/06:31:00         -73.36
2022-01-12/06:32:00         -73.30
2022-01-12/06:33:00         -73.24
2022-01-12/06:34:00         -73.19
2022-01-12/06:35:00         -73.13
2022-01-12/06:36:00         -73.07
2022-01-12/06:37:00         -73.02
2022-01-12/06:38:00         -72.96
2022-01-12/06:39:00         -72.91
2022-01-12/06:40:00         -72.85
2022-01-12/06:41:00         -72.80
2022-01-12/06:42:00         -72.74
2022-01-12/06:43:00         -72.69
2022-01-12/06:44:00         -72.63
2022-01-12/06:45:00         -72.58
2022-01-12/06:46:00         -72.53
2022-01-12/06:47:00         -72.47
2022-01-12/06:48:00         -72.42
2022-01-12/06:49:00         -72.37
2022-01-12/06:50:00         -72.32
2022-01-12/06:51:00         -72.27
2022-01-12/06:52:00         -72.21
2022-01-12/06:53:00         -72.16
2022-01-12/06:54:00         -72.11
2022-01-12/06:55:00         -72.06
2022-01-12/06:56:00         -72.01
2022-01-12/06:57:00         -71.96
2022-01-12/06:58:00         -71.91
2022-01-12/06:59:00         -71.86
2022-01-12/07:00:00         -71.81
2022-01-12/07:01:00         -71.76
2022-01-12/07:02:00         -71.71
2022-01-12/07:03:00         -71.66
2022-01-12/07:04:00         -71.61
2022-01-12/07:05:00         -71.57
2022-01-12/07:06:00         -71.52
2022-01-12/07:07:00         -71.47
2022-01-12/07:08:00         -71.42
2022-01-12/07:09:00         -71.38
2022-01-12/07:10:00         -71.33
2022-01-12/07:11:00         -71.28
2022-01-12/07:12:00         -71.24
2022-01-12/07:13:00         -71.19
2022-01-12/07:14:00         -71.14
2022-01-12/07:15:00         -71.10
2022-01-12/07:16:00         -71.05
2022-01-12/07:17:00         -71.01
2022-01-12/07:18:00         -70.96
2022-01-12/07:19:00         -70.92
2022-01-12/07:20:00         -70.87
2022-01-12/07:21:00         -70.83
2022-01-12/07:22:00         -70.79
2022-01-12/07:23:00         -70.74
2022-01-12/07:24:00         -70.70
2022-01-12/07:25:00         -70.66
2022-01-12/07:26:00         -70.61
2022-01-12/07:27:00         -70.57
2022-01-12/07:28:00         -70.53
2022-01-12/07:29:00         -70.49
2022-01-12/07:30:00         -70.44
2022-01-12/07:31:00         -70.40
2022-01-12/07:32:00         -70.36
2022-01-12/07:33:00         -70.32
2022-01-12/07:34:00         -70.28
2022-01-12/07:35:00         -70.24
2022-01-12/07:36:00         -70.20
2022-01-12/07:37:00         -70.16
2022-01-12/07:38:00         -70.12
2022-01-12/07:39:00         -70.08
2022-01-12/07:40:00         -70.04
2022-01-12/07:41:00         -70.00
2022-01-12/07:42:00         -69.96
2022-01-12/07:43:00         -69.92
2022-01-12/07:44:00         -69.89
2022-01-12/07:45:00         -69.85
2022-01-12/07:46:00         -69.81
2022-01-12/07:47:00         -69.77
2022-01-12/07:48:00         -69.74
2022-01-12/07:49:00         -69.70
2022-01-12/07:50:00         -69.66
2022-01-12/07:51:00         -69.63
2022-01-12/07:52:00         -69.59
2022-01-12/07:53:00         -69.55
2022-01-12/07:54:00         -69.52
2022-01-12/07:55:00         -69.48
2022-01-12/07:56:00         -69.45
2022-01-12/07:57:00         -69.41
2022-01-12/07:58:00         -69.38
2022-01-12/07:59:00         -69.35
2022-01-12/08:00:00         -69.31
2022-01-12/08:01:00         -69.28
2022-01-12/08:02:00         -69.24
2022-01-12/08:03:00         -69.21
2022-01-12/08:04:00         -69.18
2022-01-12/08:05:00         -69.15
2022-01-12/08:06:00         -69.11
2022-01-12/08:07:00         -69.08
2022-01-12/08:08:00         -69.05
2022-01-12/08:09:00         -69.02
2022-01-12/08:10:00         -68.99
2022-01-12/08:11:00         -68.95
2022-01-12/08:12:00         -68.92
2022-01-12/08:13:00         -68.89
2022-01-12/08:14:00         -68.86
2022-01-12/08:15:00         -68.83
2022-01-12/08:16:00         -68.80
2022-01-12/08:17:00         -68.77
2022-01-12/08:18:00         -68.74
2022-01-12/08:19:00         -68.71
2022-01-12/08:20:00         -68.69
2022-01-12/08:21:00         -68.66
2022-01-12/08:22:00         -68.63
2022-01-12/08:23:00         -68.60
2022-01-12/08:24:00         -68.57
2022-01-12/08:25:00         -68.55
2022-01-12/08:26:00         -68.52
2022-01-12/08:27:00         -68.49
2022-01-12/08:28:00         -68.46
2022-01-12/08:29:00         -68.44
2022-01-12/08:30:00         -68.41
2022-01-12/08:31:00         -68.39
2022-01-12/08:32:00         -68.36
2022-01-12/08:33:00         -68.33
2022-01-12/08:34:00         -68.31
2022-01-12/08:35:00         -68.28
2022-01-12/08:36:00         -68.26
2022-01-12/08:37:00         -68.23
2022-01-12/08:38:00         -68.21
2022-01-12/08:39:00         -68.18
2022-01-12/08:40:00         -68.16
2022-01-12/08:41:00         -68.13
2022-01-12/08:42:00         -68.11
2022-01-12/08:43:00         -68.09
2022-01-12/08:44:00         -68.06
2022-01-12/08:45:00         -68.04
2022-01-12/08:46:00         -68.02
2022-01-12/08:47:00         -67.99
2022-01-12/08:48:00         -67.97
2022-01-12/08:49:00         -67.95
2022-01-12/08:50:00         -67.93
2022-01-12/08:51:00         -67.90
2022-01-12/08:52:00         -67.88
2022-01-12/08:53:00         -67.86
2022-01-12/08:54:00         -67.84
2022-01-12/08:55:00         -67.81
2022-01-12/08:56:00         -67.79
2022-01-12/08:57:00         -67.77
2022-01-12/08:58:00         -67.75
2022-01-12/08:59:00         -67.73
2022-01-12/09:00:00         -67.70
2022-01-12/09:01:00         -67.68
2022-01-12/09:02:00         -67.66
2022-01-12/09:03:00         -67.64
2022-01-12/09:04:00         -67.62
2022-01-12/09:05:00         -67.60
2022-01-12/09:06:00         -67.57
2022-01-12/09:07:00         -67.55
2022-01-12/09:08:00         -67.53
2022-01-12/09:09:00         -67.51
2022-01-12/09:10:00         -67.49
2022-01-12/09:11:00         -67.47
2022-01-12/09:12:00         -67.44
2022-01-12/09:13:00         -67.42
2022-01-12/09:14:00         -67.40
2022-01-12/09:15:00         -67.38
2022-01-12/09:16:00         -67.36
2022-01-12/09:17:00         -67.33
2022-01-12/09:18:00         -67.31
2022-01-12/09:19:00         -67.29
2022-01-12/09:20:00         -67.27
2022-01-12/09:21:00         -67.24
2022-01-12/09:22:00         -67.22
2022-01-12/09:23:00         -67.20
2022-01-12/09:24:00         -67.18
2022-01-12/09:25:00         -67.15
2022-01-12/09:26:00         -67.13
2022-01-12/09:27:00         -67.11
2022-01-12/09:28:00         -67.08
2022-01-12/09:29:00         -67.06
2022-01-12/09:30:00         -67.04
2022-01-12/09:31:00         -67.01
2022-01-12/09:32:00         -66.99
2022-01-12/09:33:00         -66.97
2022-01-12/09:34:00         -66.94
2022-01-12/09:35:00         -66.92
2022-01-12/09:36:00         -66.90
2022-01-12/09:37:00         -66.87
2022-01-12/09:38:00         -66.85
2022-01-12/09:39:00         -66.83
2022-01-12/09:40:00         -66.80
2022-01-12/09:41:00         -66.78
2022-01-12/09:42:00         -66.76
2022-01-12/09:43:00         -66.74
2022-01-12/09:44:00         -66.71
2022-01-12/09:45:00         -66.69
2022-01-12/09:46:00         -66.67
2022-01-12/09:47:00         -66.65
2022-01-12/09:48:00         -66.63
2022-01-12/09:49:00         -66.60
2022-01-12/09:50:00         -66.58
2022-01-12/09:51:00         -66.56
2022-01-12/09:52:00         -66.54
2022-01-12/09:53:00         -66.52
2022-01-12/09:54:00         -66.50
2022-01-12/09:55:00         -66.48
2022-01-12/09:56:00         -66.47
2022-01-12/09:57:00         -66.45
2022-01-12/09:58:00         -66.43
2022-01-12/09:59:00         -66.41
2022-01-12/10:00:00         -66.40
2022-01-12/10:01:00         -66.38
2022-01-12/10:02:00         -66.36
2022-01-12/10:03:00         -66.35
2022-01-12/10:04:00         -66.34
2022-01-12/10:05:00         -66.32
2022-01-12/10:06:00         -66.31
2022-01-12/10:07:00         -66.30
2022-01-12/10:08:00         -66.29
2022-01-12/10:09:00         -66.28
2022-01-12/10:10:00         -66.27
2022-01-12/10:11:00         -66.26
2022-01-12/10:12:00         -66.25
2022-01-12/10:13:00         -66.24
2022-01-12/10:14:00         -66.24
2022-01-12/10:15:00         -66.23
2022-01-12/10:16:00         -66.23
2022-01-12/10:17:00         -66.22
2022-01-12/10:18:00         -66.22
2022-01-12/10:19:00         -66.22
2022-01-12/10:20:00         -66.22
2022-01-12/10:21:00         -66.22
2022-01-12/10:22:00         -66.22
2022-01-12/10:23:00         -66.22
2022-01-12/10:24:00         -66.23
2022-01-12/10:25:00         -66.23
2022-01-12/10:26:00         -66.24
2022-01-12/10:27:00         -66.24
2022-01-12/10:28:00         -66.25
2022-01-12/10:29:00         -66.26
2022-01-12/10:30:00         -66.27
2022-01-12/10:31:00         -66.28
2022-01-12/10:32:00         -66.29
2022-01-12/10:33:00         -66.30
2022-01-12/10:34:00         -66.32
2022-01-12/10:35:00         -66.33
2022-01-12/10:36:00         -66.35
2022-01-12/10:37:00         -66.36
2022-01-12/10:38:00         -66.38
2022-01-12/10:39:00         -66.40
2022-01-12/10:40:00         -66.42
2022-01-12/10:41:00         -66.44
2022-01-12/10:42:00         -66.47
2022-01-12/10:43:00         -66.49
2022-01-12/10:44:00         -66.51
2022-01-12/10:45:00         -66.54
2022-01-12/10:46:00         -66.57
2022-01-12/10:47:00         -66.60
2022-01-12/10:48:00         -66.62
2022-01-12/10:49:00         -66.66
2022-01-12/10:50:00         -66.69
2022-01-12/10:51:00         -66.72
2022-01-12/10:52:00         -66.75
2022-01-12/10:53:00         -66.79
2022-01-12/10:54:00         -66.82
2022-01-12/10:55:00         -66.86
2022-01-12/10:56:00         -66.90
2022-01-12/10:57:00         -66.94
2022-01-12/10:58:00         -66.98
2022-01-12/10:59:00         -67.02
2022-01-12/11:00:00         -67.06
2022-01-12/11:01:00         -67.11
2022-01-12/11:02:00         -67.15
2022-01-12/11:03:00         -67.20
2022-01-12/11:04:00         -67.25
2022-01-12/11:05:00         -67.29
2022-01-12/11:06:00         -67.34
2022-01-12/11:07:00         -67.39
2022-01-12/11:08:00         -67.44
2022-01-12/11:09:00         -67.50
2022-01-12/11:10:00         -67.55
2022-01-12/11:11:00         -67.60
2022-01-12/11:12:00         -67.66
2022-01-12/11:13:00         -67.72
2022-01-12/11:14:00         -67.77
2022-01-12/11:15:00         -67.83
2022-01-12/11:16:00         -67.89
2022-01-12/11:17:00         -67.95
2022-01-12/11:18:00         -68.02
2022-01-12/11:19:00         -68.08
2022-01-12/11:20:00         -68.14
2022-01-12/11:21:00         -68.21
2022-01-12/11:22:00         -68.27
2022-01-12/11:23:00         -68.34
2022-01-12/11:24:00         -68.41
2022-01-12/11:25:00         -68.48
2022-01-12/11:26:00         -68.55
2022-01-12/11:27:00         -68.62
2022-01-12/11:28:00         -68.69
2022-01-12/11:29:00         -68.76
2022-01-12/11:30:00         -68.83
2022-01-12/11:31:00         -68.91
2022-01-12/11:32:00         -68.98
2022-01-12/11:33:00         -69.06
2022-01-12/11:34:00         -69.14
2022-01-12/11:35:00         -69.22
2022-01-12/11:36:00         -69.30
2022-01-12/11:37:00         -69.38
2022-01-12/11:38:00         -69.46
2022-01-12/11:39:00         -69.54
2022-01-12/11:40:00         -69.62
2022-01-12/11:41:00         -69.70
2022-01-12/11:42:00         -69.79
2022-01-12/11:43:00         -69.87
2022-01-12/11:44:00         -69.96
2022-01-12/11:45:00         -70.05
2022-01-12/11:46:00         -70.14
2022-01-12/11:47:00         -70.22
2022-01-12/11:48:00         -70.31
2022-01-12/11:49:00         -70.40
2022-01-12/11:50:00         -70.49
2022-01-12/11:51:00         -70.59
2022-01-12/11:52:00         -70.68
2022-01-12/11:53:00         -70.77
2022-01-12/11:54:00         -70.87
2022-01-12/11:55:00         -70.96
2022-01-12/11:56:00         -71.06
2022-01-12/11:57:00         -71.15
2022-01-12/11:58:00         -71.25
2022-01-12/11:59:00         -71.35
2022-01-12/12:00:00         -71.44
2022-01-12/12:01:00         -71.54
2022-01-12/12:02:00         -71.64
2022-01-12/12:03:00         -71.74
2022-01-12/12:04:00         -71.84
2022-01-12/12:05:00         -71.94
2022-01-12/12:06:00         -72.04
2022-01-12/12:07:00         -72.14
2022-01-12/12:08:00         -72.25
2022-01-12/12:09:00         -72.35
2022-01-12/12:10:00         -72.45
2022-01-12/12:11:00         -72.55
2022-01-12/12:12:00         -72.66
2022-01-12/12:13:00         -72.76
2022-01-12/12:14:00         -72.87
2022-01-12/12:15:00         -72.97
2022-01-12/12:16:00         -73.08
2022-01-12/12:17:00         -73.18
2022-01-12/12:18:00         -73.29
2022-01-12/12:19:00         -73.39
2022-01-12/12:20:00         -73.50
2022-01-12/12:21:00         -73.60
2022-01-12/12:22:00         -73.71
2022-01-12/12:23:00         -73.82
2022-01-12/12:24:00         -73.92
2022-01-12/12:25:00         -74.03
2022-01-12/12:26:00         -74.14
2022-01-12/12:27:00         -74.24
2022-01-12/12:28:00         -74.35
2022-01-12/12:29:00         -74.45
2022-01-12/12:30:00         -74.56
2022-01-12/12:31:00         -74.67
2022-01-12/12:32:00         -74.77
2022-01-12/12:33:00         -74.88
2022-01-12/12:34:00         -74.98
2022-01-12/12:35:00         -75.09
2022-01-12/12:36:00         -75.20
2022-01-12/12:37:00         -75.30
2022-01-12/12:38:00         -75.41
2022-01-12/12:39:00         -75.51
2022-01-12/12:40:00         -75.62
