Time	R	Lat	Lon
2022-01-12/00:08:20	1.006	-76.65333333333334	281.2
2022-01-12/00:08:21	1.006	-76.652	281.21000000000004
2022-01-12/00:08:22	1.006	-76.65066666666667	281.22
2022-01-12/00:08:23	1.006	-76.64933333333333	281.23
2022-01-12/00:08:24	1.006	-76.648	281.24
2022-01-12/00:08:25	1.006	-76.64666666666668	281.25
2022-01-12/00:08:26	1.006	-76.64533333333334	281.26
2022-01-12/00:08:27	1.006	-76.644	281.27
2022-01-12/00:08:28	1.006	-76.64266666666667	281.28000000000003
2022-01-12/00:08:29	1.006	-76.64133333333334	281.29
2022-01-12/00:08:30	1.006	-76.64	281.3
2022-01-12/00:08:31	1.006	-76.63866666666667	281.31
2022-01-12/00:08:32	1.006	-76.63733333333333	281.32
2022-01-12/00:08:33	1.006	-76.636	281.33000000000004
2022-01-12/00:08:34	1.006	-76.63466666666666	281.34000000000003
2022-01-12/00:08:35	1.006	-76.63333333333333	281.35
2022-01-12/00:08:36	1.006	-76.632	281.36
2022-01-12/00:08:37	1.006	-76.63066666666667	281.37
2022-01-12/00:08:38	1.006	-76.62933333333334	281.38
2022-01-12/00:08:39	1.006	-76.628	281.39
2022-01-12/00:08:40	1.006	-76.62666666666667	281.40000000000003
2022-01-12/00:08:41	1.006	-76.62533333333333	281.41
2022-01-12/00:08:42	1.006	-76.624	281.42
2022-01-12/00:08:43	1.006	-76.62266666666666	281.43
2022-01-12/00:08:44	1.006	-76.62133333333333	281.44
2022-01-12/00:08:45	1.006	-76.62	281.45000000000005
2022-01-12/00:08:46	1.006	-76.61866666666667	281.46000000000004
2022-01-12/00:08:47	1.006	-76.61733333333333	281.47
2022-01-12/00:08:48	1.006	-76.616	281.48
2022-01-12/00:08:49	1.006	-76.61466666666666	281.49
2022-01-12/00:08:50	1.006	-76.61333333333333	281.5
2022-01-12/00:08:51	1.006	-76.612	281.51
2022-01-12/00:08:52	1.006	-76.61066666666666	281.52000000000004
2022-01-12/00:08:53	1.006	-76.60933333333332	281.53000000000003
2022-01-12/00:08:54	1.006	-76.60799999999999	281.54
2022-01-12/00:08:55	1.006	-76.60666666666665	281.55
2022-01-12/00:08:56	1.006	-76.60533333333333	281.56
2022-01-12/00:08:57	1.006	-76.604	281.57000000000005
2022-01-12/00:08:58	1.006	-76.60266666666666	281.58000000000004
2022-01-12/00:08:59	1.006	-76.60133333333333	281.59000000000003
2022-01-12/00:09:00	1.006	-76.6	281.6
2022-01-12/00:09:01	1.006	-76.59866666666666	281.61
2022-01-12/00:09:02	1.006	-76.59733333333332	281.62
2022-01-12/00:09:03	1.006	-76.59599999999999	281.63
2022-01-12/00:09:04	1.006	-76.59466666666665	281.64000000000004
2022-01-12/00:09:05	1.006	-76.59333333333333	281.65000000000003
2022-01-12/00:09:06	1.006	-76.592	281.66
2022-01-12/00:09:07	1.006	-76.59066666666666	281.67
2022-01-12/00:09:08	1.006	-76.58933333333333	281.68
2022-01-12/00:09:09	1.006	-76.588	281.69
2022-01-12/00:09:10	1.006	-76.58666666666666	281.70000000000005
2022-01-12/00:09:11	1.006	-76.58533333333332	281.71000000000004
2022-01-12/00:09:12	1.006	-76.58399999999999	281.72
2022-01-12/00:09:13	1.006	-76.58266666666667	281.73
2022-01-12/00:09:14	1.006	-76.58133333333333	281.74
2022-01-12/00:09:15	1.006	-76.58	281.75
2022-01-12/00:09:16	1.006	-76.57866666666666	281.76
2022-01-12/00:09:17	1.006	-76.57733333333333	281.77000000000004
2022-01-12/00:09:18	1.006	-76.576	281.78000000000003
2022-01-12/00:09:19	1.006	-76.57466666666666	281.79
2022-01-12/00:09:20	1.006	-76.57333333333332	281.8
2022-01-12/00:09:21	1.006	-76.57199999999999	281.81
2022-01-12/00:09:22	1.006	-76.57066666666667	281.82
2022-01-12/00:09:23	1.006	-76.56933333333333	281.83
2022-01-12/00:09:24	1.006	-76.568	281.84000000000003
2022-01-12/00:09:25	1.006	-76.56666666666666	281.85
2022-01-12/00:09:26	1.006	-76.56533333333333	281.86
2022-01-12/00:09:27	1.006	-76.564	281.87
2022-01-12/00:09:28	1.006	-76.56266666666666	281.88
2022-01-12/00:09:29	1.006	-76.56133333333332	281.89
2022-01-12/00:09:30	1.006	-76.56	281.9
2022-01-12/00:09:31	1.006	-76.55866666666667	281.91
2022-01-12/00:09:32	1.006	-76.55733333333333	281.92
2022-01-12/00:09:33	1.006	-76.556	281.93
2022-01-12/00:09:34	1.006	-76.55466666666666	281.94
2022-01-12/00:09:35	1.006	-76.55333333333333	281.95
2022-01-12/00:09:36	1.006	-76.55199999999999	281.96
2022-01-12/00:09:37	1.006	-76.55066666666666	281.97
2022-01-12/00:09:38	1.006	-76.54933333333332	281.98
2022-01-12/00:09:39	1.006	-76.548	281.99
2022-01-12/00:09:40	1.006	-76.54666666666667	282.0
2022-01-12/00:09:41	1.006	-76.54533333333333	282.01
2022-01-12/00:09:42	1.006	-76.544	282.02
2022-01-12/00:09:43	1.006	-76.54266666666666	282.03
2022-01-12/00:09:44	1.006	-76.54133333333333	282.04
2022-01-12/00:09:45	1.006	-76.53999999999999	282.05
2022-01-12/00:09:46	1.006	-76.53866666666666	282.06
2022-01-12/00:09:47	1.006	-76.53733333333332	282.07
2022-01-12/00:09:48	1.006	-76.536	282.08
2022-01-12/00:09:49	1.006	-76.53466666666667	282.09
2022-01-12/00:09:50	1.006	-76.53333333333333	282.1
2022-01-12/00:09:51	1.006	-76.532	282.11
2022-01-12/00:09:52	1.006	-76.53066666666666	282.12
2022-01-12/00:09:53	1.006	-76.52933333333333	282.13
2022-01-12/00:09:54	1.006	-76.52799999999999	282.14
2022-01-12/00:09:55	1.006	-76.52666666666666	282.15
2022-01-12/00:09:56	1.006	-76.52533333333334	282.15999999999997
2022-01-12/00:09:57	1.006	-76.524	282.17
2022-01-12/00:09:58	1.006	-76.52266666666667	282.18
2022-01-12/00:09:59	1.006	-76.52133333333333	282.19
2022-01-12/00:10:00	1.006	-76.52	282.2
2022-01-12/00:10:01	1.006	-76.51866666666666	282.21
2022-01-12/00:10:02	1.006	-76.51733333333333	282.21999999999997
2022-01-12/00:10:03	1.006	-76.51599999999999	282.23
2022-01-12/00:10:04	1.006	-76.51466666666666	282.24
2022-01-12/00:10:05	1.006	-76.51333333333334	282.25
2022-01-12/00:10:06	1.006	-76.512	282.26
2022-01-12/00:10:07	1.006	-76.51066666666667	282.27
2022-01-12/00:10:08	1.006	-76.50933333333333	282.28
2022-01-12/00:10:09	1.006	-76.508	282.28999999999996
2022-01-12/00:10:10	1.006	-76.50666666666666	282.3
2022-01-12/00:10:11	1.006	-76.50533333333333	282.31
2022-01-12/00:10:12	1.006	-76.50399999999999	282.32
2022-01-12/00:10:13	1.006	-76.50266666666667	282.33
2022-01-12/00:10:14	1.006	-76.50133333333333	282.34
2022-01-12/00:10:15	1.006	-76.5	282.35
2022-01-12/00:10:16	1.006	-76.49866666666667	282.36
2022-01-12/00:10:17	1.006	-76.49733333333333	282.37
2022-01-12/00:10:18	1.006	-76.496	282.38
2022-01-12/00:10:19	1.006	-76.49466666666666	282.39
2022-01-12/00:10:20	1.006	-76.49333333333333	282.4
2022-01-12/00:10:21	1.006	-76.49199999999999	282.40999999999997
2022-01-12/00:10:22	1.006	-76.49066666666667	282.42
2022-01-12/00:10:23	1.006	-76.48933333333333	282.43
2022-01-12/00:10:24	1.006	-76.488	282.44
2022-01-12/00:10:25	1.006	-76.48666666666666	282.45
2022-01-12/00:10:26	1.006	-76.48533333333333	282.46
2022-01-12/00:10:27	1.006	-76.484	282.47
2022-01-12/00:10:28	1.006	-76.48266666666666	282.48
2022-01-12/00:10:29	1.006	-76.48133333333332	282.49
2022-01-12/00:10:30	1.006	-76.47999999999999	282.5
2022-01-12/00:10:31	1.006	-76.47866666666667	282.51
2022-01-12/00:10:32	1.006	-76.47733333333333	282.52
