Time                             Char_E
2022-01-12/04:23:15          95.87
2022-01-12/04:23:45          139.7
2022-01-12/04:24:15          70.66
2022-01-12/04:24:45          94.29
2022-01-12/04:25:15          107.9
2022-01-12/04:25:45          147.2
2022-01-12/04:26:15          95.79
2022-01-12/04:26:45          43.46
2022-01-12/04:27:15           -NaN
2022-01-12/04:27:45           -NaN
2022-01-12/04:28:15           -NaN
2022-01-12/04:28:45           -NaN
2022-01-12/04:29:15           -NaN
2022-01-12/04:29:45           -NaN
2022-01-12/04:30:15           -NaN
2022-01-12/04:30:45          39.22
2022-01-12/04:31:15          25.35
2022-01-12/04:31:45          18.29
2022-01-12/04:32:15          46.11
2022-01-12/04:32:45          16.17
2022-01-12/04:33:15          24.45
2022-01-12/04:33:45          46.23
2022-01-12/04:34:15          23.76
2022-01-12/04:34:45          21.36
2022-01-12/04:35:15          26.47
2022-01-12/04:35:45          25.06
2022-01-12/04:36:15          12.42
2022-01-12/04:36:45          20.41
2022-01-12/04:37:15          20.98
2022-01-12/04:37:45          24.25
2022-01-12/04:38:15          17.93
2022-01-12/04:38:45          28.43
2022-01-12/04:39:15          22.97
2022-01-12/04:39:45          34.97
2022-01-12/04:40:15          43.39
2022-01-12/04:40:45          28.97
2022-01-12/04:41:15          30.12
2022-01-12/04:41:45          32.19
2022-01-12/04:42:15          26.82
2022-01-12/04:42:45          43.87
2022-01-12/04:43:15          21.31
2022-01-12/04:43:45          29.75
2022-01-12/04:44:15          22.92
2022-01-12/04:44:45          50.78
2022-01-12/04:45:15          18.98
2022-01-12/04:45:45          23.34
2022-01-12/04:46:15          42.33
2022-01-12/04:46:45          33.46
2022-01-12/04:47:15          19.88
2022-01-12/04:47:45          30.56
2022-01-12/04:48:15          27.44
2022-01-12/04:48:45          38.63
