                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      2.198e-05     23.00 4.949e-08
2022-01-12/04:02:45      2.198e-05     26.00 3.078e-08
2022-01-12/04:02:45      2.198e-05     29.00 9.408e-09
2022-01-12/04:02:45      2.198e-05     32.00 3.540e-09
2022-01-12/04:02:45      2.198e-05     35.00 2.634e-09
2022-01-12/04:02:45      2.198e-05     38.00 1.539e-09
2022-01-12/04:02:45      2.198e-05     41.00 5.380e-10
2022-01-12/04:02:45      2.198e-05     44.00 4.651e-11
2022-01-12/04:02:45      2.198e-05     47.00     0.000
2022-01-12/04:02:45      2.198e-05     50.00     0.000
2022-01-12/04:02:45      2.198e-05     52.00     0.000
2022-01-12/04:02:45      2.198e-05     54.00     0.000
2022-01-12/04:02:45      2.198e-05     56.00     0.000
2022-01-12/04:02:45      2.198e-05     58.00     0.000
2022-01-12/04:02:45      2.198e-05     60.00     0.000
2022-01-12/04:02:45      2.198e-05     62.00     0.000
2022-01-12/04:02:45      2.198e-05     64.00     0.000
2022-01-12/04:02:45      2.198e-05     66.00     0.000
2022-01-12/04:02:45      2.198e-05     68.00     0.000
2022-01-12/04:02:45      2.198e-05     70.00     0.000
2022-01-12/04:02:45      2.198e-05     72.00     0.000
2022-01-12/04:02:45      2.198e-05     74.00     0.000
2022-01-12/04:02:45      2.198e-05     76.00     0.000
2022-01-12/04:02:45      2.198e-05     78.00     0.000
2022-01-12/04:02:45      2.198e-05     80.00     0.000
2022-01-12/04:02:45      2.198e-05     82.00     0.000
2022-01-12/04:02:45      2.198e-05     84.00     0.000
2022-01-12/04:02:45      2.198e-05     85.00     0.000
2022-01-12/04:02:45      2.198e-05     86.00     0.000
2022-01-12/04:02:45      2.198e-05     87.00     0.000
2022-01-12/04:02:45      2.198e-05     88.00     0.000
2022-01-12/04:02:45      2.198e-05     89.00     0.000
2022-01-12/04:02:45      2.198e-05     89.50     0.000
2022-01-12/04:02:45      2.595e-05     2.000 5.069e-08
2022-01-12/04:02:45      2.595e-05     5.000 5.170e-08
2022-01-12/04:02:45      2.595e-05     8.000 5.314e-08
2022-01-12/04:02:45      2.595e-05     11.00 5.503e-08
2022-01-12/04:02:45      2.595e-05     14.00 5.623e-08
2022-01-12/04:02:45      2.595e-05     17.00 5.932e-08
2022-01-12/04:02:45      2.595e-05     20.00 6.163e-08
2022-01-12/04:02:45      2.595e-05     23.00 6.474e-08
2022-01-12/04:02:45      2.595e-05     26.00 6.710e-08
2022-01-12/04:02:45      2.595e-05     29.00 6.744e-08
2022-01-12/04:02:45      2.595e-05     32.00 4.863e-08
2022-01-12/04:02:45      2.595e-05     35.00 2.158e-08
2022-01-12/04:02:45      2.595e-05     38.00 3.027e-09
2022-01-12/04:02:45      2.595e-05     41.00 1.778e-09
2022-01-12/04:02:45      2.595e-05     44.00 6.954e-10
2022-01-12/04:02:45      2.595e-05     47.00 9.885e-11
2022-01-12/04:02:45      2.595e-05     50.00 1.655e-17
2022-01-12/04:02:45      2.595e-05     52.00     0.000
2022-01-12/04:02:45      2.595e-05     54.00     0.000
2022-01-12/04:02:45      2.595e-05     56.00     0.000
2022-01-12/04:02:45      2.595e-05     58.00     0.000
2022-01-12/04:02:45      2.595e-05     60.00     0.000
2022-01-12/04:02:45      2.595e-05     62.00     0.000
2022-01-12/04:02:45      2.595e-05     64.00     0.000
2022-01-12/04:02:45      2.595e-05     66.00     0.000
2022-01-12/04:02:45      2.595e-05     68.00     0.000
2022-01-12/04:02:45      2.595e-05     70.00     0.000
2022-01-12/04:02:45      2.595e-05     72.00     0.000
2022-01-12/04:02:45      2.595e-05     74.00     0.000
2022-01-12/04:02:45      2.595e-05     76.00     0.000
2022-01-12/04:02:45      2.595e-05     78.00     0.000
2022-01-12/04:02:45      2.595e-05     80.00     0.000
2022-01-12/04:02:45      2.595e-05     82.00     0.000
2022-01-12/04:02:45      2.595e-05     84.00     0.000
2022-01-12/04:02:45      2.595e-05     85.00     0.000
2022-01-12/04:02:45      2.595e-05     86.00     0.000
