Time                           Lon
2022-01-12/07:51:00          295.1
2022-01-12/07:52:00          295.5
2022-01-12/07:53:00          295.9
2022-01-12/07:54:00          296.3
2022-01-12/07:55:00          296.7
2022-01-12/07:56:00          297.1
2022-01-12/07:57:00          297.6
2022-01-12/07:58:00          298.0
2022-01-12/07:59:00          298.4
2022-01-12/08:00:00          298.8
2022-01-12/08:01:00          299.2
2022-01-12/08:02:00          299.6
2022-01-12/08:03:00          300.0
2022-01-12/08:04:00          300.4
2022-01-12/08:05:00          300.9
2022-01-12/08:06:00          301.3
2022-01-12/08:07:00          301.7
2022-01-12/08:08:00          302.1
2022-01-12/08:09:00          302.5
2022-01-12/08:10:00          302.9
2022-01-12/08:11:00          303.3
2022-01-12/08:12:00          303.7
2022-01-12/08:13:00          304.1
2022-01-12/08:14:00          304.5
2022-01-12/08:15:00          304.9
2022-01-12/08:16:00          305.4
2022-01-12/08:17:00          305.8
2022-01-12/08:18:00          306.2
2022-01-12/08:19:00          306.6
2022-01-12/08:20:00          307.0
2022-01-12/08:21:00          307.4
2022-01-12/08:22:00          307.8
2022-01-12/08:23:00          308.2
2022-01-12/08:24:00          308.6
2022-01-12/08:25:00          309.0
2022-01-12/08:26:00          309.4
2022-01-12/08:27:00          309.8
2022-01-12/08:28:00          310.2
2022-01-12/08:29:00          310.6
2022-01-12/08:30:00          311.0
2022-01-12/08:31:00          311.4
2022-01-12/08:32:00          311.8
2022-01-12/08:33:00          312.2
2022-01-12/08:34:00          312.6
2022-01-12/08:35:00          313.1
2022-01-12/08:36:00          313.5
2022-01-12/08:37:00          313.9
2022-01-12/08:38:00          314.3
2022-01-12/08:39:00          314.7
2022-01-12/08:40:00          315.1
2022-01-12/08:41:00          315.5
2022-01-12/08:42:00          315.9
2022-01-12/08:43:00          316.3
2022-01-12/08:44:00          316.7
2022-01-12/08:45:00          317.1
2022-01-12/08:46:00          317.5
2022-01-12/08:47:00          317.9
2022-01-12/08:48:00          318.3
2022-01-12/08:49:00          318.7
2022-01-12/08:50:00          319.1
2022-01-12/08:51:00          319.5
2022-01-12/08:52:00          319.9
2022-01-12/08:53:00          320.3
2022-01-12/08:54:00          320.7
2022-01-12/08:55:00          321.1
2022-01-12/08:56:00          321.5
2022-01-12/08:57:00          321.9
2022-01-12/08:58:00          322.3
2022-01-12/08:59:00          322.7
2022-01-12/09:00:00          323.1
2022-01-12/09:01:00          323.5
2022-01-12/09:02:00          323.9
2022-01-12/09:03:00          324.3
2022-01-12/09:04:00          324.7
2022-01-12/09:05:00          325.1
2022-01-12/09:06:00          325.5
2022-01-12/09:07:00          325.9
2022-01-12/09:08:00          326.3
2022-01-12/09:09:00          326.7
2022-01-12/09:10:00          327.1
2022-01-12/09:11:00          327.5
2022-01-12/09:12:00          327.9
2022-01-12/09:13:00          328.3
2022-01-12/09:14:00          328.7
2022-01-12/09:15:00          329.1
2022-01-12/09:16:00          329.5
2022-01-12/09:17:00          329.9
2022-01-12/09:18:00          330.3
2022-01-12/09:19:00          330.7
2022-01-12/09:20:00          331.1
2022-01-12/09:21:00          331.5
2022-01-12/09:22:00          331.9
2022-01-12/09:23:00          332.3
2022-01-12/09:24:00          332.7
2022-01-12/09:25:00          333.1
2022-01-12/09:26:00          333.5
2022-01-12/09:27:00          333.9
2022-01-12/09:28:00          334.3
2022-01-12/09:29:00          334.7
2022-01-12/09:30:00          335.1
2022-01-12/09:31:00          335.5
2022-01-12/09:32:00          335.9
2022-01-12/09:33:00          336.3
2022-01-12/09:34:00          336.7
2022-01-12/09:35:00          337.1
2022-01-12/09:36:00          337.5
2022-01-12/09:37:00          337.9
2022-01-12/09:38:00          338.3
2022-01-12/09:39:00          338.7
2022-01-12/09:40:00          339.1
2022-01-12/09:41:00          339.5
2022-01-12/09:42:00          339.9
2022-01-12/09:43:00          340.3
2022-01-12/09:44:00          340.7
2022-01-12/09:45:00          341.1
2022-01-12/09:46:00          341.5
2022-01-12/09:47:00          341.9
2022-01-12/09:48:00          342.3
2022-01-12/09:49:00          342.7
2022-01-12/09:50:00          343.1
2022-01-12/09:51:00          343.5
2022-01-12/09:52:00          343.9
2022-01-12/09:53:00          344.3
2022-01-12/09:54:00          344.7
2022-01-12/09:55:00          345.1
