Time                          Flux_prec
2022-01-12/03:19:15          110.1
2022-01-12/03:19:45          108.3
2022-01-12/03:20:15          101.1
2022-01-12/03:20:45          58.75
2022-01-12/03:21:15          24.78
2022-01-12/03:21:45          0.000
2022-01-12/03:22:15          0.000
2022-01-12/03:22:45          0.000
2022-01-12/03:23:15          0.000
2022-01-12/03:23:45          0.000
2022-01-12/03:24:15          0.000
2022-01-12/03:24:45          0.000
2022-01-12/03:25:15          0.000
2022-01-12/03:25:45          0.000
2022-01-12/03:26:15          0.000
2022-01-12/03:26:45          0.000
2022-01-12/03:27:15          25.68
2022-01-12/03:27:45          114.7
2022-01-12/03:28:15          0.000
2022-01-12/03:28:45          0.000
2022-01-12/03:29:15          0.000
2022-01-12/03:29:45          0.000
2022-01-12/03:30:15          0.000
2022-01-12/03:30:45          0.000
2022-01-12/03:31:15          0.000
2022-01-12/03:31:45          0.000
2022-01-12/03:32:15          0.000
2022-01-12/03:32:45          0.000
2022-01-12/03:33:15          0.000
2022-01-12/03:33:45          0.000
2022-01-12/03:34:15          0.000
2022-01-12/03:34:45          0.000
2022-01-12/03:35:15          0.000
2022-01-12/03:35:45          0.000
2022-01-12/03:36:15          0.000
2022-01-12/03:36:45          0.000
2022-01-12/03:37:15          0.000
2022-01-12/03:37:45          0.000
2022-01-12/03:38:15          0.000
2022-01-12/03:38:45          0.000
2022-01-12/03:39:15          0.000
2022-01-12/03:39:45          0.000
2022-01-12/03:40:15          0.000
2022-01-12/03:40:45          0.000
2022-01-12/03:41:15          0.000
2022-01-12/03:41:45          0.000
2022-01-12/03:42:15          0.000
2022-01-12/03:42:45          0.000
2022-01-12/03:43:15          0.000
2022-01-12/03:43:45          0.000
2022-01-12/03:44:15          0.000
2022-01-12/03:44:45          0.000
2022-01-12/03:45:15          0.000
2022-01-12/03:45:45          0.000
2022-01-12/03:46:15          0.000
2022-01-12/03:46:45          0.000
2022-01-12/03:47:15          0.000
2022-01-12/03:47:45          0.000
2022-01-12/03:48:15          0.000
2022-01-12/03:48:45          0.000
2022-01-12/03:49:15          0.000
2022-01-12/03:49:45          0.000
2022-01-12/03:50:15          0.000
2022-01-12/03:50:45          0.000
2022-01-12/03:51:15          0.000
2022-01-12/03:51:45          0.000
2022-01-12/03:52:15          0.000
2022-01-12/03:52:45          0.000
2022-01-12/03:53:15          0.000
2022-01-12/03:53:45          0.000
2022-01-12/03:54:15          0.000
2022-01-12/03:54:45          0.000
2022-01-12/03:55:15          0.000
2022-01-12/03:55:45          0.000
2022-01-12/03:56:15          0.000
2022-01-12/03:56:45          0.000
2022-01-12/03:57:15          0.000
2022-01-12/03:57:45          0.000
2022-01-12/03:58:15          334.1
2022-01-12/03:58:45          257.3
2022-01-12/03:59:15          167.3
2022-01-12/03:59:45          144.3
2022-01-12/04:00:15          58.74
2022-01-12/04:00:45          0.000
2022-01-12/04:01:15          0.000
2022-01-12/04:01:45          0.000
