Time                       energy      ratio
2022-01-12/00:48:45        0.06481     0.000
2022-01-12/00:48:45        0.08088     0.000
2022-01-12/00:48:45         0.1005     0.000
2022-01-12/00:48:45         0.1256     0.000
2022-01-12/00:48:45         0.1565     0.000
2022-01-12/00:48:45         0.1950     0.000
2022-01-12/00:48:45         0.2432   0.01119
2022-01-12/00:48:45         0.3030   0.02783
2022-01-12/00:48:45         0.3776   0.04205
2022-01-12/00:48:45         0.4700   0.05680
2022-01-12/00:48:45         0.5855    0.1044
2022-01-12/00:48:45         0.7291    0.1208
2022-01-12/00:48:45         0.9078    0.1185
2022-01-12/00:48:45          1.129    0.1089
2022-01-12/00:48:45          1.406   0.09498
2022-01-12/00:48:45          1.751   0.07942
2022-01-12/00:48:45          2.180    0.1209
2022-01-12/00:48:45          2.715    0.1626
2022-01-12/00:48:45          3.375    0.1477
2022-01-12/00:48:45          4.202    0.1256
2022-01-12/00:48:45          5.232    0.1024
2022-01-12/00:48:45          6.521   0.08099
2022-01-12/00:48:45          8.126   0.06966
2022-01-12/00:48:45          10.11   0.05767
2022-01-12/00:48:45          12.59   0.07041
2022-01-12/00:48:45          15.68   0.06132
2022-01-12/00:48:45          19.53   0.05427
2022-01-12/00:48:45          24.32   0.04739
2022-01-12/00:48:45          39.23   0.03161
2022-01-12/00:48:45          46.73   0.02599
2022-01-12/00:48:45          56.30   0.02109
2022-01-12/00:48:45          67.84   0.01728
2022-01-12/00:48:45          81.77   0.01433
2022-01-12/00:48:45          98.36   0.01316
2022-01-12/00:48:45          118.6   0.01167
2022-01-12/00:48:45          142.9   0.01014
2022-01-12/00:48:45          171.8  0.008698
2022-01-12/00:48:45          206.7  0.007410
2022-01-12/00:48:45          247.6  0.006267
2022-01-12/00:48:45          295.9  0.005607
2022-01-12/00:48:45          353.2  0.004971
2022-01-12/00:48:45          421.5  0.004350
2022-01-12/00:48:45          504.2  0.003811
2022-01-12/00:48:45          605.4  0.003317
2022-01-12/00:48:45          731.8  0.002900
2022-01-12/00:48:45          972.3     0.000
2022-01-12/00:49:15        0.03075     0.000
2022-01-12/00:49:15        0.03242     0.000
2022-01-12/00:49:15        0.04127     0.000
2022-01-12/00:49:15        0.05200     0.000
2022-01-12/00:49:15        0.06481     0.000
2022-01-12/00:49:15        0.08088     0.000
2022-01-12/00:49:15         0.1005     0.000
2022-01-12/00:49:15         0.1256     0.000
2022-01-12/00:49:15         0.1565     0.000
2022-01-12/00:49:15         0.1950     0.000
2022-01-12/00:49:15         0.2432     0.000
2022-01-12/00:49:15         0.3030     0.000
2022-01-12/00:49:15         0.3776     0.000
2022-01-12/00:49:15         0.4700     0.000
2022-01-12/00:49:15         0.5855     0.000
2022-01-12/00:49:15         0.7291     0.000
2022-01-12/00:49:15         0.9078     0.000
2022-01-12/00:49:15          1.129     0.000
2022-01-12/00:49:15          1.406     0.000
2022-01-12/00:49:15          1.751     0.000
2022-01-12/00:49:15          2.180     0.000
2022-01-12/00:49:15          2.715     0.000
2022-01-12/00:49:15          3.375     0.000
2022-01-12/00:49:15          4.202     0.000
2022-01-12/00:49:15          5.232     0.000
2022-01-12/00:49:15          6.521     0.000
2022-01-12/00:49:15          8.126     0.000
2022-01-12/00:49:15          10.11     0.000
2022-01-12/00:49:15          12.59     0.000
2022-01-12/00:49:15          15.68     0.000
2022-01-12/00:49:15          19.53     0.000
2022-01-12/00:49:15          24.32     0.000
2022-01-12/00:49:15          39.23     0.000
2022-01-12/00:49:15          46.73     0.000
