Time                             Mshell         energy           flux
2022-01-12/00:05:45          11.98 3.532e+05     0.000
2022-01-12/00:05:45          11.98 4.215e+05     0.000
2022-01-12/00:05:45          11.98 5.042e+05     0.000
2022-01-12/00:05:45          11.98 6.054e+05     0.000
2022-01-12/00:05:45          11.98 7.318e+05     0.000
2022-01-12/00:05:45          11.98 9.723e+05     0.000
2022-01-12/00:06:15          11.97     30.75     0.000
2022-01-12/00:06:15          11.97     32.42     0.000
2022-01-12/00:06:15          11.97     41.27     0.000
2022-01-12/00:06:15          11.97     52.00     0.000
2022-01-12/00:06:15          11.97     64.81     0.000
2022-01-12/00:06:15          11.97     80.88     0.000
2022-01-12/00:06:15          11.97     100.5     0.000
2022-01-12/00:06:15          11.97     125.6     0.000
2022-01-12/00:06:15          11.97     156.5     0.000
2022-01-12/00:06:15          11.97     195.0     0.000
2022-01-12/00:06:15          11.97     243.2     0.000
2022-01-12/00:06:15          11.97     303.0     0.000
2022-01-12/00:06:15          11.97     377.6     0.000
2022-01-12/00:06:15          11.97     470.0     0.000
2022-01-12/00:06:15          11.97     585.5     0.000
2022-01-12/00:06:15          11.97     729.1     0.000
2022-01-12/00:06:15          11.97     907.8     0.000
2022-01-12/00:06:15          11.97     1129.     0.000
2022-01-12/00:06:15          11.97     1406.     0.000
2022-01-12/00:06:15          11.97     1751.     0.000
2022-01-12/00:06:15          11.97     2180.     0.000
2022-01-12/00:06:15          11.97     2715.     0.000
2022-01-12/00:06:15          11.97     3375.     0.000
2022-01-12/00:06:15          11.97     4202.     0.000
2022-01-12/00:06:15          11.97     5232.     0.000
2022-01-12/00:06:15          11.97     6521.     0.000
2022-01-12/00:06:15          11.97     8126.     0.000
2022-01-12/00:06:15          11.97 1.011e+04     0.000
2022-01-12/00:06:15          11.97 1.259e+04     0.000
2022-01-12/00:06:15          11.97 1.568e+04     0.000
2022-01-12/00:06:15          11.97 1.953e+04     0.000
2022-01-12/00:06:15          11.97 2.432e+04     0.000
2022-01-12/00:06:15          11.97 3.923e+04     0.000
2022-01-12/00:06:15          11.97 4.673e+04     0.000
2022-01-12/00:06:15          11.97 5.630e+04     0.000
2022-01-12/00:06:15          11.97 6.784e+04     0.000
2022-01-12/00:06:15          11.97 8.177e+04     0.000
2022-01-12/00:06:15          11.97 9.836e+04     0.000
2022-01-12/00:06:15          11.97 1.186e+05     0.000
2022-01-12/00:06:15          11.97 1.429e+05     0.000
2022-01-12/00:06:15          11.97 1.718e+05     0.000
2022-01-12/00:06:15          11.97 2.067e+05     0.000
2022-01-12/00:06:15          11.97 2.476e+05     0.000
2022-01-12/00:06:15          11.97 2.959e+05     0.000
2022-01-12/00:06:15          11.97 3.532e+05     0.000
2022-01-12/00:06:15          11.97 4.215e+05     0.000
2022-01-12/00:06:15          11.97 5.042e+05     0.000
2022-01-12/00:06:15          11.97 6.054e+05     0.000
2022-01-12/00:06:15          11.97 7.318e+05     0.000
2022-01-12/00:06:15          11.97 9.723e+05     0.000
2022-01-12/00:06:45          11.96     30.75     0.000
2022-01-12/00:06:45          11.96     32.42     0.000
2022-01-12/00:06:45          11.96     41.27     0.000
2022-01-12/00:06:45          11.96     52.00     0.000
2022-01-12/00:06:45          11.96     64.81     0.000
2022-01-12/00:06:45          11.96     80.88     0.000
2022-01-12/00:06:45          11.96     100.5     0.000
2022-01-12/00:06:45          11.96     125.6     0.000
2022-01-12/00:06:45          11.96     156.5     0.000
2022-01-12/00:06:45          11.96     195.0     0.000
2022-01-12/00:06:45          11.96     243.2     0.000
2022-01-12/00:06:45          11.96     303.0     0.000
2022-01-12/00:06:45          11.96     377.6     0.000
2022-01-12/00:06:45          11.96     470.0     0.000
2022-01-12/00:06:45          11.96     585.5     0.000
2022-01-12/00:06:45          11.96     729.1     0.000
2022-01-12/00:06:45          11.96     907.8     0.000
2022-01-12/00:06:45          11.96     1129.     0.000
2022-01-12/00:06:45          11.96     1406.     0.000
2022-01-12/00:06:45          11.96     1751.     0.000
2022-01-12/00:06:45          11.96     2180.     0.000
2022-01-12/00:06:45          11.96     2715.     0.000
2022-01-12/00:06:45          11.96     3375.     0.000
2022-01-12/00:06:45          11.96     4202.     0.000
2022-01-12/00:06:45          11.96     5232.     0.000
2022-01-12/00:06:45          11.96     6521.     0.000
2022-01-12/00:06:45          11.96     8126.     0.000
2022-01-12/00:06:45          11.96 1.011e+04     0.000
2022-01-12/00:06:45          11.96 1.259e+04     0.000
2022-01-12/00:06:45          11.96 1.568e+04     0.000
2022-01-12/00:06:45          11.96 1.953e+04     0.000
2022-01-12/00:06:45          11.96 2.432e+04     0.000
2022-01-12/00:06:45          11.96 3.923e+04     0.000
2022-01-12/00:06:45          11.96 4.673e+04     0.000
2022-01-12/00:06:45          11.96 5.630e+04     0.000
2022-01-12/00:06:45          11.96 6.784e+04     0.000
2022-01-12/00:06:45          11.96 8.177e+04     0.000
2022-01-12/00:06:45          11.96 9.836e+04     0.000
2022-01-12/00:06:45          11.96 1.186e+05     0.000
2022-01-12/00:06:45          11.96 1.429e+05     0.000
2022-01-12/00:06:45          11.96 1.718e+05     0.000
2022-01-12/00:06:45          11.96 2.067e+05     0.000
2022-01-12/00:06:45          11.96 2.476e+05     0.000
2022-01-12/00:06:45          11.96 2.959e+05     0.000
2022-01-12/00:06:45          11.96 3.532e+05     0.000
2022-01-12/00:06:45          11.96 4.215e+05     0.000
2022-01-12/00:06:45          11.96 5.042e+05     0.000
2022-01-12/00:06:45          11.96 6.054e+05     0.000
2022-01-12/00:06:45          11.96 7.318e+05     0.000
2022-01-12/00:06:45          11.96 9.723e+05     0.000
2022-01-12/00:07:15          11.95     30.75     0.000
2022-01-12/00:07:15          11.95     32.42     0.000
2022-01-12/00:07:15          11.95     41.27     0.000
2022-01-12/00:07:15          11.95     52.00     0.000
2022-01-12/00:07:15          11.95     64.81     0.000
2022-01-12/00:07:15          11.95     80.88     0.000
2022-01-12/00:07:15          11.95     100.5     0.000
2022-01-12/00:07:15          11.95     125.6     0.000
2022-01-12/00:07:15          11.95     156.5     0.000
2022-01-12/00:07:15          11.95     195.0     0.000
2022-01-12/00:07:15          11.95     243.2     0.000
2022-01-12/00:07:15          11.95     303.0     0.000
2022-01-12/00:07:15          11.95     377.6     0.000
2022-01-12/00:07:15          11.95     470.0     0.000
2022-01-12/00:07:15          11.95     585.5     0.000
2022-01-12/00:07:15          11.95     729.1     0.000
2022-01-12/00:07:15          11.95     907.8     0.000
2022-01-12/00:07:15          11.95     1129.     0.000
2022-01-12/00:07:15          11.95     1406.     0.000
2022-01-12/00:07:15          11.95     1751.     0.000
2022-01-12/00:07:15          11.95     2180.     0.000
2022-01-12/00:07:15          11.95     2715.     0.000
2022-01-12/00:07:15          11.95     3375.     0.000
2022-01-12/00:07:15          11.95     4202.     0.000
2022-01-12/00:07:15          11.95     5232.     0.000
2022-01-12/00:07:15          11.95     6521.     0.000
2022-01-12/00:07:15          11.95     8126.     0.000
2022-01-12/00:07:15          11.95 1.011e+04     0.000
2022-01-12/00:07:15          11.95 1.259e+04     0.000
2022-01-12/00:07:15          11.95 1.568e+04     0.000
2022-01-12/00:07:15          11.95 1.953e+04     0.000
2022-01-12/00:07:15          11.95 2.432e+04     0.000
2022-01-12/00:07:15          11.95 3.923e+04     0.000
2022-01-12/00:07:15          11.95 4.673e+04     0.000
2022-01-12/00:07:15          11.95 5.630e+04     0.000
2022-01-12/00:07:15          11.95 6.784e+04     0.000
2022-01-12/00:07:15          11.95 8.177e+04     0.000
2022-01-12/00:07:15          11.95 9.836e+04     0.000
2022-01-12/00:07:15          11.95 1.186e+05     0.000
2022-01-12/00:07:15          11.95 1.429e+05     0.000
2022-01-12/00:07:15          11.95 1.718e+05     0.000
2022-01-12/00:07:15          11.95 2.067e+05     0.000
2022-01-12/00:07:15          11.95 2.476e+05     0.000
2022-01-12/00:07:15          11.95 2.959e+05     0.000
2022-01-12/00:07:15          11.95 3.532e+05     0.000
2022-01-12/00:07:15          11.95 4.215e+05     0.000
2022-01-12/00:07:15          11.95 5.042e+05     0.000
2022-01-12/00:07:15          11.95 6.054e+05     0.000
2022-01-12/00:07:15          11.95 7.318e+05     0.000
2022-01-12/00:07:15          11.95 9.723e+05     0.000
2022-01-12/00:07:45          11.94     30.75     0.000
2022-01-12/00:07:45          11.94     32.42     0.000
2022-01-12/00:07:45          11.94     41.27     0.000
2022-01-12/00:07:45          11.94     52.00     0.000
2022-01-12/00:07:45          11.94     64.81     0.000
2022-01-12/00:07:45          11.94     80.88     0.000
2022-01-12/00:07:45          11.94     100.5     0.000
2022-01-12/00:07:45          11.94     125.6     0.000
2022-01-12/00:07:45          11.94     156.5     0.000
2022-01-12/00:07:45          11.94     195.0     0.000
2022-01-12/00:07:45          11.94     243.2     0.000
2022-01-12/00:07:45          11.94     303.0     0.000
2022-01-12/00:07:45          11.94     377.6     0.000
2022-01-12/00:07:45          11.94     470.0     0.000
2022-01-12/00:07:45          11.94     585.5     0.000
2022-01-12/00:07:45          11.94     729.1     0.000
2022-01-12/00:07:45          11.94     907.8     0.000
2022-01-12/00:07:45          11.94     1129.     0.000
2022-01-12/00:07:45          11.94     1406.     0.000
2022-01-12/00:07:45          11.94     1751.     0.000
2022-01-12/00:07:45          11.94     2180.     0.000
2022-01-12/00:07:45          11.94     2715.     0.000
2022-01-12/00:07:45          11.94     3375.     0.000
2022-01-12/00:07:45          11.94     4202.     0.000
2022-01-12/00:07:45          11.94     5232.     0.000
2022-01-12/00:07:45          11.94     6521.     0.000
2022-01-12/00:07:45          11.94     8126.     0.000
2022-01-12/00:07:45          11.94 1.011e+04     0.000
2022-01-12/00:07:45          11.94 1.259e+04     0.000
2022-01-12/00:07:45          11.94 1.568e+04     0.000
2022-01-12/00:07:45          11.94 1.953e+04     0.000
2022-01-12/00:07:45          11.94 2.432e+04     0.000
2022-01-12/00:07:45          11.94 3.923e+04     0.000
2022-01-12/00:07:45          11.94 4.673e+04     0.000
2022-01-12/00:07:45          11.94 5.630e+04     0.000
2022-01-12/00:07:45          11.94 6.784e+04     0.000
2022-01-12/00:07:45          11.94 8.177e+04     0.000
2022-01-12/00:07:45          11.94 9.836e+04     0.000
2022-01-12/00:07:45          11.94 1.186e+05     0.000
2022-01-12/00:07:45          11.94 1.429e+05     0.000
2022-01-12/00:07:45          11.94 1.718e+05     0.000
2022-01-12/00:07:45          11.94 2.067e+05     0.000
2022-01-12/00:07:45          11.94 2.476e+05     0.000
2022-01-12/00:07:45          11.94 2.959e+05     0.000
2022-01-12/00:07:45          11.94 3.532e+05     0.000
2022-01-12/00:07:45          11.94 4.215e+05     0.000
2022-01-12/00:07:45          11.94 5.042e+05     0.000
2022-01-12/00:07:45          11.94 6.054e+05     0.000
2022-01-12/00:07:45          11.94 7.318e+05     0.000
2022-01-12/00:07:45          11.94 9.723e+05     0.000
2022-01-12/00:08:15          11.93     30.75     0.000
2022-01-12/00:08:15          11.93     32.42     0.000
2022-01-12/00:08:15          11.93     41.27     0.000
2022-01-12/00:08:15          11.93     52.00     0.000
2022-01-12/00:08:15          11.93     64.81     0.000
2022-01-12/00:08:15          11.93     80.88     0.000
2022-01-12/00:08:15          11.93     100.5     0.000
2022-01-12/00:08:15          11.93     125.6     0.000
2022-01-12/00:08:15          11.93     156.5     0.000
2022-01-12/00:08:15          11.93     195.0     0.000
2022-01-12/00:08:15          11.93     243.2     0.000
2022-01-12/00:08:15          11.93     303.0     0.000
2022-01-12/00:08:15          11.93     377.6     0.000
2022-01-12/00:08:15          11.93     470.0     0.000
2022-01-12/00:08:15          11.93     585.5     0.000
2022-01-12/00:08:15          11.93     729.1     0.000
2022-01-12/00:08:15          11.93     907.8     0.000
2022-01-12/00:08:15          11.93     1129.     0.000
2022-01-12/00:08:15          11.93     1406.     0.000
2022-01-12/00:08:15          11.93     1751.     0.000
2022-01-12/00:08:15          11.93     2180.     0.000
2022-01-12/00:08:15          11.93     2715.     0.000
2022-01-12/00:08:15          11.93     3375.     0.000
2022-01-12/00:08:15          11.93     4202.     0.000
2022-01-12/00:08:15          11.93     5232.     0.000
2022-01-12/00:08:15          11.93     6521.     0.000
