                    time         Energy            Daa
     2022-01-12/02:54:15 0.0001565 1.607e-06
     2022-01-12/02:54:15 0.0001950 1.794e-06
     2022-01-12/02:54:15 0.0002432 2.003e-06
     2022-01-12/02:54:15 0.0003030 2.236e-06
     2022-01-12/02:54:15 0.0003776 2.495e-06
     2022-01-12/02:54:15 0.0004700 2.784e-06
     2022-01-12/02:54:15 0.0005855 3.107e-06
     2022-01-12/02:54:15 0.0007291 3.466e-06
     2022-01-12/02:54:15 0.0009078 3.866e-06
     2022-01-12/02:54:15  0.001129 4.311e-06
     2022-01-12/02:54:15  0.001406 4.808e-06
     2022-01-12/02:54:15  0.001751 5.363e-06
     2022-01-12/02:54:15  0.002180 5.980e-06
     2022-01-12/02:54:15  0.002715 6.669e-06
     2022-01-12/02:54:15  0.003375 7.429e-06
     2022-01-12/02:54:15  0.004202 8.279e-06
     2022-01-12/02:54:15  0.005232 9.224e-06
     2022-01-12/02:54:15  0.006521 1.028e-05
     2022-01-12/02:54:15  0.008126 1.145e-05
     2022-01-12/02:54:15   0.01011 1.273e-05
     2022-01-12/02:54:15   0.01259 1.416e-05
     2022-01-12/02:54:15   0.01568 1.573e-05
     2022-01-12/02:54:15   0.01953 1.746e-05
     2022-01-12/02:54:15   0.02432 1.935e-05
     2022-01-12/02:54:15   0.03923 2.409e-05
     2022-01-12/02:54:15   0.04673 2.603e-05
     2022-01-12/02:54:15   0.05630 2.821e-05
     2022-01-12/02:54:15   0.06784 3.051e-05
     2022-01-12/02:54:15   0.08177 3.292e-05
     2022-01-12/02:54:15   0.09836 3.538e-05
     2022-01-12/02:54:15    0.1186 3.795e-05
     2022-01-12/02:54:15    0.1429 4.053e-05
     2022-01-12/02:54:15    0.1718 4.308e-05
     2022-01-12/02:54:15    0.2067 4.561e-05
     2022-01-12/02:54:15    0.2476 4.801e-05
     2022-01-12/02:54:15    0.2959 5.027e-05
     2022-01-12/02:54:15    0.3532 5.238e-05
     2022-01-12/02:54:15    0.4215 5.433e-05
     2022-01-12/02:54:15    0.5042 5.612e-05
     2022-01-12/02:54:15    0.6054 5.775e-05
     2022-01-12/02:54:15    0.7318 5.921e-05
     2022-01-12/02:54:15    0.9723 6.098e-05
     2022-01-12/02:54:45 3.075e-05 7.190e-07
     2022-01-12/02:54:45 3.242e-05 7.383e-07
     2022-01-12/02:54:45 4.127e-05 8.329e-07
     2022-01-12/02:54:45 5.200e-05 9.350e-07
     2022-01-12/02:54:45 6.481e-05 1.044e-06
     2022-01-12/02:54:45 8.088e-05 1.166e-06
     2022-01-12/02:54:45 0.0001005 1.300e-06
     2022-01-12/02:54:45 0.0001256 1.453e-06
     2022-01-12/02:54:45 0.0001565 1.622e-06
     2022-01-12/02:54:45 0.0001950 1.810e-06
     2022-01-12/02:54:45 0.0002432 2.021e-06
     2022-01-12/02:54:45 0.0003030 2.256e-06
     2022-01-12/02:54:45 0.0003776 2.518e-06
     2022-01-12/02:54:45 0.0004700 2.809e-06
     2022-01-12/02:54:45 0.0005855 3.135e-06
     2022-01-12/02:54:45 0.0007291 3.498e-06
     2022-01-12/02:54:45 0.0009078 3.902e-06
     2022-01-12/02:54:45  0.001129 4.350e-06
     2022-01-12/02:54:45  0.001406 4.852e-06
     2022-01-12/02:54:45  0.001751 5.411e-06
     2022-01-12/02:54:45  0.002180 6.034e-06
     2022-01-12/02:54:45  0.002715 6.729e-06
     2022-01-12/02:54:45  0.003375 7.496e-06
     2022-01-12/02:54:45  0.004202 8.354e-06
     2022-01-12/02:54:45  0.005232 9.308e-06
     2022-01-12/02:54:45  0.006521 1.037e-05
     2022-01-12/02:54:45  0.008126 1.155e-05
     2022-01-12/02:54:45   0.01011 1.285e-05
     2022-01-12/02:54:45   0.01259 1.429e-05
     2022-01-12/02:54:45   0.01568 1.588e-05
     2022-01-12/02:54:45   0.01953 1.762e-05
     2022-01-12/02:54:45   0.02432 1.953e-05
     2022-01-12/02:54:45   0.03923 2.431e-05
