Time                             Mshell         energy           flux
2022-01-12/00:05:45          11.98     470.0 3.990e+08
2022-01-12/00:05:45          11.98     585.5 2.921e+08
2022-01-12/00:05:45          11.98     729.1 2.127e+08
2022-01-12/00:05:45          11.98     907.8 1.567e+08
2022-01-12/00:05:45          11.98     1129. 1.262e+08
2022-01-12/00:05:45          11.98     1406. 8.799e+07
2022-01-12/00:05:45          11.98     1751. 6.226e+07
2022-01-12/00:05:45          11.98     2180. 4.489e+07
2022-01-12/00:05:45          11.98     2715. 3.015e+07
2022-01-12/00:05:45          11.98     3375. 2.243e+07
2022-01-12/00:05:45          11.98     4202. 1.668e+07
2022-01-12/00:05:45          11.98     5232. 1.237e+07
2022-01-12/00:05:45          11.98     6521. 8.757e+06
2022-01-12/00:05:45          11.98     8126. 6.798e+06
2022-01-12/00:05:45          11.98 1.011e+04 5.319e+06
2022-01-12/00:05:45          11.98 1.259e+04 4.059e+06
2022-01-12/00:05:45          11.98 1.568e+04 3.405e+06
2022-01-12/00:05:45          11.98 1.953e+04 2.649e+06
2022-01-12/00:05:45          11.98 2.432e+04 2.288e+06
2022-01-12/00:05:45          11.98 3.923e+04 2.318e+06
2022-01-12/00:05:45          11.98 4.673e+04 1.780e+06
2022-01-12/00:05:45          11.98 5.630e+04 1.360e+06
2022-01-12/00:05:45          11.98 6.784e+04 1.053e+06
2022-01-12/00:05:45          11.98 8.177e+04 7.987e+05
2022-01-12/00:05:45          11.98 9.836e+04 6.376e+05
2022-01-12/00:05:45          11.98 1.186e+05 5.429e+05
2022-01-12/00:05:45          11.98 1.429e+05 4.604e+05
2022-01-12/00:05:45          11.98 1.718e+05 3.594e+05
2022-01-12/00:05:45          11.98 2.067e+05 2.716e+05
2022-01-12/00:05:45          11.98 2.476e+05 1.851e+05
2022-01-12/00:05:45          11.98 2.959e+05 1.229e+05
2022-01-12/00:05:45          11.98 3.532e+05 7.538e+04
2022-01-12/00:05:45          11.98 4.215e+05 4.421e+04
2022-01-12/00:05:45          11.98 5.042e+05 2.615e+04
2022-01-12/00:05:45          11.98 6.054e+05 1.747e+04
2022-01-12/00:05:45          11.98 7.318e+05 1.291e+04
2022-01-12/00:05:45          11.98 9.723e+05 1.111e+04
2022-01-12/00:06:15          11.97     30.75 3.059e+10
2022-01-12/00:06:15          11.97     32.42 2.955e+10
2022-01-12/00:06:15          11.97     41.27 2.361e+10
2022-01-12/00:06:15          11.97     52.00 1.870e+10
2022-01-12/00:06:15          11.97     64.81 1.390e+10
2022-01-12/00:06:15          11.97     80.88 1.017e+10
2022-01-12/00:06:15          11.97     100.5 7.113e+09
2022-01-12/00:06:15          11.97     125.6 4.720e+09
2022-01-12/00:06:15          11.97     156.5 3.022e+09
2022-01-12/00:06:15          11.97     195.0 2.010e+09
2022-01-12/00:06:15          11.97     243.2 1.299e+09
2022-01-12/00:06:15          11.97     303.0 8.573e+08
2022-01-12/00:06:15          11.97     377.6 5.791e+08
2022-01-12/00:06:15          11.97     470.0 4.008e+08
2022-01-12/00:06:15          11.97     585.5 2.790e+08
2022-01-12/00:06:15          11.97     729.1 1.954e+08
2022-01-12/00:06:15          11.97     907.8 1.424e+08
2022-01-12/00:06:15          11.97     1129. 1.071e+08
2022-01-12/00:06:15          11.97     1406. 7.406e+07
2022-01-12/00:06:15          11.97     1751. 5.197e+07
2022-01-12/00:06:15          11.97     2180. 3.691e+07
2022-01-12/00:06:15          11.97     2715. 2.445e+07
2022-01-12/00:06:15          11.97     3375. 1.819e+07
2022-01-12/00:06:15          11.97     4202. 1.394e+07
2022-01-12/00:06:15          11.97     5232. 1.047e+07
2022-01-12/00:06:15          11.97     6521. 7.797e+06
2022-01-12/00:06:15          11.97     8126. 5.941e+06
2022-01-12/00:06:15          11.97 1.011e+04 4.705e+06
2022-01-12/00:06:15          11.97 1.259e+04 3.706e+06
2022-01-12/00:06:15          11.97 1.568e+04 3.032e+06
2022-01-12/00:06:15          11.97 1.953e+04 2.530e+06
2022-01-12/00:06:15          11.97 2.432e+04 2.099e+06
2022-01-12/00:06:15          11.97 3.923e+04 2.124e+06
2022-01-12/00:06:15          11.97 4.673e+04 1.671e+06
2022-01-12/00:06:15          11.97 5.630e+04 1.299e+06
2022-01-12/00:06:15          11.97 6.784e+04 9.922e+05
2022-01-12/00:06:15          11.97 8.177e+04 8.046e+05
2022-01-12/00:06:15          11.97 9.836e+04 6.272e+05
2022-01-12/00:06:15          11.97 1.186e+05 5.293e+05
2022-01-12/00:06:15          11.97 1.429e+05 4.593e+05
2022-01-12/00:06:15          11.97 1.718e+05 3.786e+05
2022-01-12/00:06:15          11.97 2.067e+05 2.727e+05
2022-01-12/00:06:15          11.97 2.476e+05 1.903e+05
2022-01-12/00:06:15          11.97 2.959e+05 1.323e+05
2022-01-12/00:06:15          11.97 3.532e+05 8.240e+04
2022-01-12/00:06:15          11.97 4.215e+05 5.032e+04
2022-01-12/00:06:15          11.97 5.042e+05 2.985e+04
2022-01-12/00:06:15          11.97 6.054e+05 1.899e+04
2022-01-12/00:06:15          11.97 7.318e+05 1.335e+04
2022-01-12/00:06:15          11.97 9.723e+05 1.105e+04
2022-01-12/00:06:45          11.96     30.75 3.059e+10
2022-01-12/00:06:45          11.96     32.42 2.955e+10
2022-01-12/00:06:45          11.96     41.27 2.361e+10
2022-01-12/00:06:45          11.96     52.00 1.870e+10
2022-01-12/00:06:45          11.96     64.81 1.390e+10
2022-01-12/00:06:45          11.96     80.88 1.017e+10
2022-01-12/00:06:45          11.96     100.5 7.113e+09
2022-01-12/00:06:45          11.96     125.6 4.720e+09
2022-01-12/00:06:45          11.96     156.5 3.022e+09
2022-01-12/00:06:45          11.96     195.0 2.010e+09
2022-01-12/00:06:45          11.96     243.2 1.299e+09
2022-01-12/00:06:45          11.96     303.0 8.573e+08
2022-01-12/00:06:45          11.96     377.6 5.791e+08
2022-01-12/00:06:45          11.96     470.0 4.008e+08
2022-01-12/00:06:45          11.96     585.5 2.790e+08
2022-01-12/00:06:45          11.96     729.1 1.954e+08
2022-01-12/00:06:45          11.96     907.8 1.424e+08
2022-01-12/00:06:45          11.96     1129. 1.071e+08
2022-01-12/00:06:45          11.96     1406. 7.406e+07
2022-01-12/00:06:45          11.96     1751. 5.197e+07
2022-01-12/00:06:45          11.96     2180. 3.691e+07
2022-01-12/00:06:45          11.96     2715. 2.445e+07
2022-01-12/00:06:45          11.96     3375. 1.819e+07
2022-01-12/00:06:45          11.96     4202. 1.394e+07
2022-01-12/00:06:45          11.96     5232. 1.047e+07
2022-01-12/00:06:45          11.96     6521. 7.797e+06
2022-01-12/00:06:45          11.96     8126. 5.941e+06
2022-01-12/00:06:45          11.96 1.011e+04 4.705e+06
2022-01-12/00:06:45          11.96 1.259e+04 3.706e+06
2022-01-12/00:06:45          11.96 1.568e+04 3.032e+06
2022-01-12/00:06:45          11.96 1.953e+04 2.530e+06
2022-01-12/00:06:45          11.96 2.432e+04 2.099e+06
2022-01-12/00:06:45          11.96 3.923e+04 1.420e+06
2022-01-12/00:06:45          11.96 4.673e+04 1.069e+06
2022-01-12/00:06:45          11.96 5.630e+04 8.011e+05
2022-01-12/00:06:45          11.96 6.784e+04 6.162e+05
2022-01-12/00:06:45          11.96 8.177e+04 4.659e+05
2022-01-12/00:06:45          11.96 9.836e+04 3.670e+05
2022-01-12/00:06:45          11.96 1.186e+05 2.833e+05
2022-01-12/00:06:45          11.96 1.429e+05 2.306e+05
2022-01-12/00:06:45          11.96 1.718e+05 2.027e+05
2022-01-12/00:06:45          11.96 2.067e+05 1.833e+05
2022-01-12/00:06:45          11.96 2.476e+05 1.627e+05
2022-01-12/00:06:45          11.96 2.959e+05 1.283e+05
2022-01-12/00:06:45          11.96 3.532e+05 8.977e+04
2022-01-12/00:06:45          11.96 4.215e+05 5.910e+04
2022-01-12/00:06:45          11.96 5.042e+05 3.415e+04
2022-01-12/00:06:45          11.96 6.054e+05 1.911e+04
2022-01-12/00:06:45          11.96 7.318e+05 1.316e+04
2022-01-12/00:06:45          11.96 9.723e+05 1.037e+04
2022-01-12/00:07:15          11.95     30.75 3.059e+10
2022-01-12/00:07:15          11.95     32.42 2.955e+10
2022-01-12/00:07:15          11.95     41.27 2.361e+10
2022-01-12/00:07:15          11.95     52.00 1.870e+10
2022-01-12/00:07:15          11.95     64.81 1.390e+10
2022-01-12/00:07:15          11.95     80.88 1.017e+10
2022-01-12/00:07:15          11.95     100.5 7.113e+09
2022-01-12/00:07:15          11.95     125.6 4.720e+09
2022-01-12/00:07:15          11.95     156.5 3.022e+09
2022-01-12/00:07:15          11.95     195.0 2.010e+09
2022-01-12/00:07:15          11.95     243.2 1.299e+09
2022-01-12/00:07:15          11.95     303.0 8.573e+08
2022-01-12/00:07:15          11.95     377.6 5.791e+08
2022-01-12/00:07:15          11.95     470.0 4.008e+08
2022-01-12/00:07:15          11.95     585.5 2.790e+08
2022-01-12/00:07:15          11.95     729.1 1.954e+08
2022-01-12/00:07:15          11.95     907.8 1.424e+08
2022-01-12/00:07:15          11.95     1129. 1.071e+08
2022-01-12/00:07:15          11.95     1406. 7.406e+07
2022-01-12/00:07:15          11.95     1751. 5.197e+07
2022-01-12/00:07:15          11.95     2180. 3.691e+07
2022-01-12/00:07:15          11.95     2715. 2.445e+07
2022-01-12/00:07:15          11.95     3375. 1.819e+07
2022-01-12/00:07:15          11.95     4202. 1.394e+07
2022-01-12/00:07:15          11.95     5232. 1.047e+07
2022-01-12/00:07:15          11.95     6521. 7.797e+06
2022-01-12/00:07:15          11.95     8126. 5.941e+06
2022-01-12/00:07:15          11.95 1.011e+04 4.705e+06
2022-01-12/00:07:15          11.95 1.259e+04 3.706e+06
2022-01-12/00:07:15          11.95 1.568e+04 3.032e+06
2022-01-12/00:07:15          11.95 1.953e+04 2.530e+06
2022-01-12/00:07:15          11.95 2.432e+04 2.099e+06
2022-01-12/00:07:15          11.95 3.923e+04 1.376e+06
2022-01-12/00:07:15          11.95 4.673e+04 1.073e+06
2022-01-12/00:07:15          11.95 5.630e+04 7.957e+05
2022-01-12/00:07:15          11.95 6.784e+04 6.090e+05
2022-01-12/00:07:15          11.95 8.177e+04 4.552e+05
2022-01-12/00:07:15          11.95 9.836e+04 3.836e+05
2022-01-12/00:07:15          11.95 1.186e+05 2.921e+05
2022-01-12/00:07:15          11.95 1.429e+05 2.222e+05
2022-01-12/00:07:15          11.95 1.718e+05 1.861e+05
2022-01-12/00:07:15          11.95 2.067e+05 1.576e+05
2022-01-12/00:07:15          11.95 2.476e+05 1.267e+05
2022-01-12/00:07:15          11.95 2.959e+05 1.047e+05
2022-01-12/00:07:15          11.95 3.532e+05 7.907e+04
2022-01-12/00:07:15          11.95 4.215e+05 6.098e+04
2022-01-12/00:07:15          11.95 5.042e+05 3.660e+04
2022-01-12/00:07:15          11.95 6.054e+05 2.309e+04
2022-01-12/00:07:15          11.95 7.318e+05 1.445e+04
2022-01-12/00:07:15          11.95 9.723e+05 1.045e+04
2022-01-12/00:07:45          11.94     30.75 3.994e+10
2022-01-12/00:07:45          11.94     32.42 3.868e+10
