Time                    Mshell    R         MagLat    MLT       
     2022-01-12/00:32:00     11.49     11.39     3.918     20.00
     2022-01-12/00:32:10     11.49     11.39     3.905     20.00
     2022-01-12/00:32:20     11.48     11.39     3.891     20.00
     2022-01-12/00:32:30     11.48     11.39     3.877     20.00
     2022-01-12/00:32:40     11.48     11.39     3.863     20.00
     2022-01-12/00:32:50     11.47     11.38     3.849     20.00
     2022-01-12/00:33:00     11.47     11.38     3.835     20.00
     2022-01-12/00:33:10     11.47     11.38     3.821     20.00
     2022-01-12/00:33:20     11.47     11.38     3.807     20.00
     2022-01-12/00:33:30     11.46     11.38     3.793     20.00
     2022-01-12/00:33:40     11.46     11.37     3.779     20.00
     2022-01-12/00:33:50     11.46     11.37     3.765     20.01
     2022-01-12/00:34:00     11.45     11.37     3.751     20.01
     2022-01-12/00:34:10     11.45     11.37     3.737     20.01
     2022-01-12/00:34:20     11.45     11.36     3.723     20.01
     2022-01-12/00:34:30     11.44     11.36     3.709     20.01
     2022-01-12/00:34:40     11.44     11.36     3.695     20.01
     2022-01-12/00:34:50     11.44     11.36     3.681     20.01
     2022-01-12/00:35:00     11.44     11.36     3.667     20.01
     2022-01-12/00:35:10     11.43     11.35     3.653     20.01
     2022-01-12/00:35:20     11.43     11.35     3.639     20.01
     2022-01-12/00:35:30     11.43     11.35     3.625     20.01
     2022-01-12/00:35:40     11.42     11.35     3.611     20.01
     2022-01-12/00:35:50     11.42     11.34     3.597     20.01
     2022-01-12/00:36:00     11.42     11.34     3.583     20.01
     2022-01-12/00:36:10     11.42     11.34     3.569     20.01
     2022-01-12/00:36:20     11.41     11.34     3.555     20.01
     2022-01-12/00:36:30     11.41     11.34     3.541     20.01
     2022-01-12/00:36:40     11.41     11.33     3.527     20.01
     2022-01-12/00:36:50     11.41     11.33     3.513     20.01
     2022-01-12/00:37:00     11.40     11.33     3.499     20.01
     2022-01-12/00:37:10     11.40     11.33     3.485     20.01
     2022-01-12/00:37:20     11.40     11.32     3.470     20.01
     2022-01-12/00:37:30     11.39     11.32     3.456     20.01
     2022-01-12/00:37:40     11.39     11.32     3.442     20.01
     2022-01-12/00:37:50     11.39     11.32     3.428     20.01
     2022-01-12/00:38:00     11.39     11.32     3.414     20.01
     2022-01-12/00:38:10     11.38     11.31     3.400     20.01
     2022-01-12/00:38:20     11.38     11.31     3.386     20.01
     2022-01-12/00:38:30     11.38     11.31     3.372     20.01
     2022-01-12/00:38:40     11.37     11.31     3.358     20.01
     2022-01-12/00:38:50     11.37     11.30     3.343     20.01
     2022-01-12/00:39:00     11.37     11.30     3.329     20.01
     2022-01-12/00:39:10     11.37     11.30     3.315     20.01
     2022-01-12/00:39:20     11.36     11.30     3.301     20.01
     2022-01-12/00:39:30     11.36     11.30     3.287     20.01
     2022-01-12/00:39:40     11.36     11.29     3.273     20.01
     2022-01-12/00:39:50     11.35     11.29     3.259     20.01
     2022-01-12/00:40:00     11.35     11.29     3.244     20.01
     2022-01-12/00:40:10     11.35     11.29     3.230     20.01
     2022-01-12/00:40:20     11.35     11.28     3.216     20.01
     2022-01-12/00:40:30     11.34     11.28     3.202     20.01
     2022-01-12/00:40:40     11.34     11.28     3.188     20.01
     2022-01-12/00:40:50     11.34     11.28     3.173     20.01
     2022-01-12/00:41:00     11.34     11.28     3.159     20.01
     2022-01-12/00:41:10     11.33     11.27     3.145     20.01
     2022-01-12/00:41:20     11.33     11.27     3.131     20.01
     2022-01-12/00:41:30     11.33     11.27     3.117     20.01
     2022-01-12/00:41:40     11.32     11.27     3.102     20.01
     2022-01-12/00:41:50     11.32     11.26     3.088     20.01
     2022-01-12/00:42:00     11.32     11.26     3.074     20.01
     2022-01-12/00:42:10     11.32     11.26     3.060     20.01
     2022-01-12/00:42:20     11.31     11.26     3.046     20.01
     2022-01-12/00:42:30     11.31     11.26     3.031     20.01
     2022-01-12/00:42:40     11.31     11.25     3.017     20.01
     2022-01-12/00:42:50     11.31     11.25     3.003     20.01
     2022-01-12/00:43:00     11.30     11.25     2.989     20.01
     2022-01-12/00:43:10     11.30     11.25     2.974     20.01
     2022-01-12/00:43:20     11.30     11.24     2.960     20.01
     2022-01-12/00:43:30     11.29     11.24     2.946     20.01
     2022-01-12/00:43:40     11.29     11.24     2.932     20.01
     2022-01-12/00:43:50     11.29     11.24     2.917     20.01
     2022-01-12/00:44:00     11.29     11.24     2.903     20.01
     2022-01-12/00:44:10     11.28     11.23     2.889     20.01
     2022-01-12/00:44:20     11.28     11.23     2.875     20.01
     2022-01-12/00:44:30     11.28     11.23     2.860     20.01
     2022-01-12/00:44:40     11.28     11.23     2.846     20.01
     2022-01-12/00:44:50     11.27     11.22     2.832     20.01
