Time                    Mshell    R         MagLat    MLT       
     2022-01-12/02:35:10     9.767     9.701    -4.537     19.98
     2022-01-12/02:35:20     9.765     9.699    -4.541     19.98
     2022-01-12/02:35:30     9.762     9.697    -4.545     19.98
     2022-01-12/02:35:40     9.760     9.694    -4.549     19.98
     2022-01-12/02:35:50     9.758     9.692    -4.554     19.98
     2022-01-12/02:36:00     9.755     9.689    -4.558     19.98
     2022-01-12/02:36:10     9.753     9.687    -4.562     19.98
     2022-01-12/02:36:20     9.751     9.685    -4.566     19.97
     2022-01-12/02:36:30     9.749     9.682    -4.570     19.97
     2022-01-12/02:36:40     9.746     9.680    -4.574     19.97
     2022-01-12/02:36:50     9.744     9.677    -4.578     19.97
     2022-01-12/02:37:00     9.742     9.675    -4.582     19.97
     2022-01-12/02:37:10     9.739     9.673    -4.586     19.97
     2022-01-12/02:37:20     9.737     9.670    -4.590     19.97
     2022-01-12/02:37:30     9.735     9.668    -4.593     19.97
     2022-01-12/02:37:40     9.733     9.665    -4.597     19.97
     2022-01-12/02:37:50     9.730     9.663    -4.601     19.97
     2022-01-12/02:38:00     9.728     9.661    -4.605     19.97
     2022-01-12/02:38:10     9.726     9.658    -4.609     19.97
     2022-01-12/02:38:20     9.723     9.656    -4.612     19.97
     2022-01-12/02:38:30     9.721     9.653    -4.616     19.97
     2022-01-12/02:38:40     9.719     9.651    -4.620     19.97
     2022-01-12/02:38:50     9.717     9.649    -4.623     19.97
     2022-01-12/02:39:00     9.714     9.646    -4.627     19.97
     2022-01-12/02:39:10     9.712     9.644    -4.630     19.97
     2022-01-12/02:39:20     9.710     9.641    -4.634     19.97
     2022-01-12/02:39:30     9.707     9.639    -4.637     19.97
     2022-01-12/02:39:40     9.705     9.637    -4.641     19.97
     2022-01-12/02:39:50     9.703     9.634    -4.644     19.97
     2022-01-12/02:40:00     9.700     9.632    -4.648     19.97
     2022-01-12/02:40:10     9.698     9.629    -4.651     19.97
     2022-01-12/02:40:20     9.696     9.627    -4.654     19.97
     2022-01-12/02:40:30     9.693     9.625    -4.657     19.97
     2022-01-12/02:40:40     9.691     9.622    -4.661     19.97
     2022-01-12/02:40:50     9.689     9.620    -4.664     19.97
     2022-01-12/02:41:00     9.687     9.617    -4.667     19.97
     2022-01-12/02:41:10     9.684     9.615    -4.670     19.97
     2022-01-12/02:41:20     9.682     9.613    -4.673     19.97
     2022-01-12/02:41:30     9.680     9.610    -4.677     19.97
     2022-01-12/02:41:40     9.677     9.608    -4.680     19.97
     2022-01-12/02:41:50     9.675     9.605    -4.683     19.97
     2022-01-12/02:42:00     9.673     9.603    -4.686     19.97
     2022-01-12/02:42:10     9.670     9.601    -4.689     19.97
     2022-01-12/02:42:20     9.668     9.598    -4.692     19.97
     2022-01-12/02:42:30     9.666     9.596    -4.695     19.97
     2022-01-12/02:42:40     9.663     9.593    -4.697     19.97
     2022-01-12/02:42:50     9.661     9.591    -4.700     19.97
     2022-01-12/02:43:00     9.659     9.589    -4.703     19.97
     2022-01-12/02:43:10     9.656     9.586    -4.706     19.97
     2022-01-12/02:43:20     9.654     9.584    -4.709     19.97
     2022-01-12/02:43:30     9.652     9.581    -4.711     19.97
     2022-01-12/02:43:40     9.649     9.579    -4.714     19.97
     2022-01-12/02:43:50     9.647     9.577    -4.717     19.97
     2022-01-12/02:44:00     9.645     9.574    -4.719     19.97
     2022-01-12/02:44:10     9.642     9.572    -4.722     19.97
     2022-01-12/02:44:20     9.640     9.569    -4.725     19.97
     2022-01-12/02:44:30     9.638     9.567    -4.727     19.97
     2022-01-12/02:44:40     9.635     9.565    -4.730     19.97
     2022-01-12/02:44:50     9.633     9.562    -4.732     19.97
     2022-01-12/02:45:00     9.631     9.560    -4.735     19.97
     2022-01-12/02:45:10     9.628     9.557    -4.737     19.97
     2022-01-12/02:45:20     9.626     9.555    -4.739     19.97
     2022-01-12/02:45:30     9.624     9.553    -4.742     19.97
     2022-01-12/02:45:40     9.621     9.550    -4.744     19.97
     2022-01-12/02:45:50     9.619     9.548    -4.746     19.97
     2022-01-12/02:46:00     9.617     9.545    -4.749     19.97
     2022-01-12/02:46:10     9.614     9.543    -4.751     19.97
     2022-01-12/02:46:20     9.612     9.541    -4.753     19.96
     2022-01-12/02:46:30     9.610     9.538    -4.755     19.96
     2022-01-12/02:46:40     9.607     9.536    -4.757     19.96
     2022-01-12/02:46:50     9.605     9.533    -4.759     19.96
     2022-01-12/02:47:00     9.603     9.531    -4.761     19.96
     2022-01-12/02:47:10     9.600     9.529    -4.763     19.96
     2022-01-12/02:47:20     9.598     9.526    -4.765     19.96
     2022-01-12/02:47:30     9.596     9.524    -4.767     19.96
     2022-01-12/02:47:40     9.593     9.521    -4.769     19.96
     2022-01-12/02:47:50     9.591     9.519    -4.771     19.96
     2022-01-12/02:48:00     9.588     9.516    -4.773     19.96
     2022-01-12/02:48:10     9.586     9.514    -4.775     19.96
     2022-01-12/02:48:20     9.584     9.512    -4.777     19.96
     2022-01-12/02:48:30     9.581     9.509    -4.778     19.96
     2022-01-12/02:48:40     9.579     9.507    -4.780     19.96
     2022-01-12/02:48:50     9.577     9.504    -4.782     19.96
     2022-01-12/02:49:00     9.574     9.502    -4.783     19.96
     2022-01-12/02:49:10     9.572     9.500    -4.785     19.96
     2022-01-12/02:49:20     9.570     9.497    -4.787     19.96
     2022-01-12/02:49:30     9.567     9.495    -4.788     19.96
     2022-01-12/02:49:40     9.565     9.492    -4.790     19.96
     2022-01-12/02:49:50     9.562     9.490    -4.791     19.96
     2022-01-12/02:50:00     9.560     9.487    -4.793     19.96
     2022-01-12/02:50:10     9.558     9.485    -4.794     19.96
     2022-01-12/02:50:20     9.555     9.483    -4.796     19.96
     2022-01-12/02:50:30     9.553     9.480    -4.797     19.96
     2022-01-12/02:50:40     9.551     9.478    -4.798     19.96
     2022-01-12/02:50:50     9.548     9.475    -4.800     19.96
     2022-01-12/02:51:00     9.546     9.473    -4.801     19.96
     2022-01-12/02:51:10     9.543     9.471    -4.802     19.96
     2022-01-12/02:51:20     9.541     9.468    -4.803     19.96
     2022-01-12/02:51:30     9.539     9.466    -4.805     19.96
     2022-01-12/02:51:40     9.536     9.463    -4.806     19.96
     2022-01-12/02:51:50     9.534     9.461    -4.807     19.96
     2022-01-12/02:52:00     9.531     9.458    -4.808     19.96
     2022-01-12/02:52:10     9.529     9.456    -4.809     19.96
     2022-01-12/02:52:20     9.527     9.454    -4.810     19.96
     2022-01-12/02:52:30     9.524     9.451    -4.811     19.96
     2022-01-12/02:52:40     9.522     9.449    -4.812     19.96
     2022-01-12/02:52:50     9.520     9.446    -4.813     19.96
     2022-01-12/02:53:00     9.517     9.444    -4.814     19.96
     2022-01-12/02:53:10     9.515     9.442    -4.814     19.96
     2022-01-12/02:53:20     9.512     9.439    -4.815     19.96
     2022-01-12/02:53:30     9.510     9.437    -4.816     19.96
     2022-01-12/02:53:40     9.508     9.434    -4.817     19.96
     2022-01-12/02:53:50     9.505     9.432    -4.818     19.96
     2022-01-12/02:54:00     9.503     9.429    -4.818     19.96
     2022-01-12/02:54:10     9.500     9.427    -4.819     19.96
     2022-01-12/02:54:20     9.498     9.425    -4.819     19.96
     2022-01-12/02:54:30     9.496     9.422    -4.820     19.96
     2022-01-12/02:54:40     9.493     9.420    -4.821     19.96
     2022-01-12/02:54:50     9.491     9.417    -4.821     19.96
     2022-01-12/02:55:00     9.488     9.415    -4.822     19.96
     2022-01-12/02:55:10     9.486     9.412    -4.822     19.96
     2022-01-12/02:55:20     9.483     9.410    -4.822     19.96
     2022-01-12/02:55:30     9.481     9.408    -4.823     19.96
     2022-01-12/02:55:40     9.479     9.405    -4.823     19.96
     2022-01-12/02:55:50     9.476     9.403    -4.823     19.96
     2022-01-12/02:56:00     9.474     9.400    -4.824     19.96
     2022-01-12/02:56:10     9.471     9.398    -4.824     19.96
     2022-01-12/02:56:20     9.469     9.395    -4.824     19.96
     2022-01-12/02:56:30     9.467     9.393    -4.824     19.95
     2022-01-12/02:56:40     9.464     9.391    -4.825     19.95
     2022-01-12/02:56:50     9.462     9.388    -4.825     19.95
     2022-01-12/02:57:00     9.459     9.386    -4.825     19.95
     2022-01-12/02:57:10     9.457     9.383    -4.825     19.95
     2022-01-12/02:57:20     9.454     9.381    -4.825     19.95
     2022-01-12/02:57:30     9.452     9.378    -4.825     19.95
     2022-01-12/02:57:40     9.450     9.376    -4.825     19.95
     2022-01-12/02:57:50     9.447     9.374    -4.825     19.95
     2022-01-12/02:58:00     9.445     9.371    -4.824     19.95
     2022-01-12/02:58:10     9.442     9.369    -4.824     19.95
     2022-01-12/02:58:20     9.440     9.366    -4.824     19.95
     2022-01-12/02:58:30     9.437     9.364    -4.824     19.95
     2022-01-12/02:58:40     9.435     9.361    -4.824     19.95
     2022-01-12/02:58:50     9.433     9.359    -4.823     19.95
     2022-01-12/02:59:00     9.430     9.357    -4.823     19.95
     2022-01-12/02:59:10     9.428     9.354    -4.823     19.95
     2022-01-12/02:59:20     9.425     9.352    -4.822     19.95
     2022-01-12/02:59:30     9.423     9.349    -4.822     19.95
     2022-01-12/02:59:40     9.420     9.347    -4.821     19.95
     2022-01-12/02:59:50     9.418     9.344    -4.821     19.95
     2022-01-12/03:00:00     9.415     9.342    -4.820     19.95
     2022-01-12/03:00:10     9.413     9.340    -4.820     19.95
     2022-01-12/03:00:20     9.411     9.337    -4.819     19.95
     2022-01-12/03:00:30     9.408     9.335    -4.818     19.95
     2022-01-12/03:00:40     9.406     9.332    -4.818     19.95
     2022-01-12/03:00:50     9.403     9.330    -4.817     19.95
     2022-01-12/03:01:00     9.401     9.327    -4.816     19.95
     2022-01-12/03:01:10     9.398     9.325    -4.816     19.95
     2022-01-12/03:01:20     9.396     9.322    -4.815     19.95
     2022-01-12/03:01:30     9.393     9.320    -4.814     19.95
     2022-01-12/03:01:40     9.391     9.318    -4.813     19.95
     2022-01-12/03:01:50     9.388     9.315    -4.812     19.95
     2022-01-12/03:02:00     9.386     9.313    -4.811     19.95
     2022-01-12/03:02:10     9.383     9.310    -4.810     19.95
     2022-01-12/03:02:20     9.381     9.308    -4.809     19.95
     2022-01-12/03:02:30     9.379     9.305    -4.808     19.95
     2022-01-12/03:02:40     9.376     9.303    -4.807     19.95
     2022-01-12/03:02:50     9.374     9.301    -4.806     19.95
     2022-01-12/03:03:00     9.371     9.298    -4.805     19.95
     2022-01-12/03:03:10     9.369     9.296    -4.804     19.95
     2022-01-12/03:03:20     9.366     9.293    -4.802     19.95
     2022-01-12/03:03:30     9.364     9.291    -4.801     19.95
     2022-01-12/03:03:40     9.361     9.288    -4.800     19.95
     2022-01-12/03:03:50     9.359     9.286    -4.799     19.95
     2022-01-12/03:04:00     9.356     9.283    -4.797     19.95
     2022-01-12/03:04:10     9.354     9.281    -4.796     19.95
     2022-01-12/03:04:20     9.351     9.279    -4.794     19.95
     2022-01-12/03:04:30     9.349     9.276    -4.793     19.95
     2022-01-12/03:04:40     9.346     9.274    -4.792     19.95
     2022-01-12/03:04:50     9.344     9.271    -4.790     19.95
     2022-01-12/03:05:00     9.341     9.269    -4.788     19.95
     2022-01-12/03:05:10     9.339     9.266    -4.787     19.95
     2022-01-12/03:05:20     9.336     9.264    -4.785     19.95
     2022-01-12/03:05:30     9.334     9.261    -4.784     19.95
     2022-01-12/03:05:40     9.331     9.259    -4.782     19.95
     2022-01-12/03:05:50     9.329     9.257    -4.780     19.95
     2022-01-12/03:06:00     9.327     9.254    -4.778     19.95
     2022-01-12/03:06:10     9.324     9.252    -4.777     19.95
     2022-01-12/03:06:20     9.322     9.249    -4.775     19.95
     2022-01-12/03:06:30     9.319     9.247    -4.773     19.95
     2022-01-12/03:06:40     9.317     9.244    -4.771     19.95
     2022-01-12/03:06:50     9.314     9.242    -4.769     19.95
     2022-01-12/03:07:00     9.312     9.239    -4.767     19.95
     2022-01-12/03:07:10     9.309     9.237    -4.765     19.95
     2022-01-12/03:07:20     9.307     9.235    -4.763     19.95
     2022-01-12/03:07:30     9.304     9.232    -4.761     19.94
     2022-01-12/03:07:40     9.302     9.230    -4.759     19.94
     2022-01-12/03:07:50     9.299     9.227    -4.757     19.94
     2022-01-12/03:08:00     9.297     9.225    -4.754     19.94
     2022-01-12/03:08:10     9.294     9.222    -4.752     19.94
     2022-01-12/03:08:20     9.292     9.220    -4.750     19.94
     2022-01-12/03:08:30     9.289     9.217    -4.748     19.94
     2022-01-12/03:08:40     9.286     9.215    -4.745     19.94
     2022-01-12/03:08:50     9.284     9.213    -4.743     19.94
     2022-01-12/03:09:00     9.281     9.210    -4.741     19.94
     2022-01-12/03:09:10     9.279     9.208    -4.738     19.94
     2022-01-12/03:09:20     9.276     9.205    -4.736     19.94
     2022-01-12/03:09:30     9.274     9.203    -4.733     19.94
     2022-01-12/03:09:40     9.271     9.200    -4.731     19.94
     2022-01-12/03:09:50     9.269     9.198    -4.728     19.94
     2022-01-12/03:10:00     9.266     9.195    -4.726     19.94
     2022-01-12/03:10:10     9.264     9.193    -4.723     19.94
     2022-01-12/03:10:20     9.261     9.190    -4.720     19.94
     2022-01-12/03:10:30     9.259     9.188    -4.718     19.94
     2022-01-12/03:10:40     9.256     9.186    -4.715     19.94
     2022-01-12/03:10:50     9.254     9.183    -4.712     19.94
     2022-01-12/03:11:00     9.251     9.181    -4.709     19.94
     2022-01-12/03:11:10     9.249     9.178    -4.706     19.94
     2022-01-12/03:11:20     9.246     9.176    -4.704     19.94
     2022-01-12/03:11:30     9.244     9.173    -4.701     19.94
     2022-01-12/03:11:40     9.241     9.171    -4.698     19.94
     2022-01-12/03:11:50     9.239     9.168    -4.695     19.94
     2022-01-12/03:12:00     9.236     9.166    -4.692     19.94
     2022-01-12/03:12:10     9.234     9.163    -4.689     19.94
     2022-01-12/03:12:20     9.231     9.161    -4.686     19.94
     2022-01-12/03:12:30     9.228     9.159    -4.682     19.94
     2022-01-12/03:12:40     9.226     9.156    -4.679     19.94
     2022-01-12/03:12:50     9.223     9.154    -4.676     19.94
     2022-01-12/03:13:00     9.221     9.151    -4.673     19.94
     2022-01-12/03:13:10     9.218     9.149    -4.670     19.94
     2022-01-12/03:13:20     9.216     9.146    -4.666     19.94
     2022-01-12/03:13:30     9.213     9.144    -4.663     19.94
     2022-01-12/03:13:40     9.211     9.141    -4.660     19.94
     2022-01-12/03:13:50     9.208     9.139    -4.656     19.94
     2022-01-12/03:14:00     9.206     9.136    -4.653     19.94
     2022-01-12/03:14:10     9.203     9.134    -4.649     19.94
     2022-01-12/03:14:20     9.200     9.131    -4.646     19.94
     2022-01-12/03:14:30     9.198     9.129    -4.642     19.94
     2022-01-12/03:14:40     9.195     9.127    -4.639     19.94
     2022-01-12/03:14:50     9.193     9.124    -4.635     19.94
     2022-01-12/03:15:00     9.190     9.122    -4.631     19.94
     2022-01-12/03:15:10     9.188     9.119    -4.628     19.94
     2022-01-12/03:15:20     9.185     9.117    -4.624     19.94
     2022-01-12/03:15:30     9.183     9.114    -4.620     19.94
     2022-01-12/03:15:40     9.180     9.112    -4.616     19.94
     2022-01-12/03:15:50     9.177     9.109    -4.613     19.94
     2022-01-12/03:16:00     9.175     9.107    -4.609     19.94
     2022-01-12/03:16:10     9.172     9.104    -4.605     19.94
     2022-01-12/03:16:20     9.170     9.102    -4.601     19.94
     2022-01-12/03:16:30     9.167     9.099    -4.597     19.94
     2022-01-12/03:16:40     9.165     9.097    -4.593     19.94
     2022-01-12/03:16:50     9.162     9.095    -4.589     19.94
     2022-01-12/03:17:00     9.159     9.092    -4.585     19.94
     2022-01-12/03:17:10     9.157     9.090    -4.581     19.94
     2022-01-12/03:17:20     9.154     9.087    -4.577     19.94
     2022-01-12/03:17:30     9.152     9.085    -4.572     19.94
     2022-01-12/03:17:40     9.149     9.082    -4.568     19.94
     2022-01-12/03:17:50     9.147     9.080    -4.564     19.94
     2022-01-12/03:18:00     9.144     9.077    -4.560     19.94
     2022-01-12/03:18:10     9.141     9.075    -4.555     19.94
     2022-01-12/03:18:20     9.139     9.072    -4.551     19.94
     2022-01-12/03:18:30     9.136     9.070    -4.547     19.94
     2022-01-12/03:18:40     9.134     9.067    -4.542     19.94
     2022-01-12/03:18:50     9.131     9.065    -4.538     19.94
     2022-01-12/03:19:00     9.129     9.062    -4.533     19.94
     2022-01-12/03:19:10     9.126     9.060    -4.529     19.94
     2022-01-12/03:19:20     9.123     9.057    -4.524     19.94
     2022-01-12/03:19:30     9.121     9.055    -4.520     19.94
     2022-01-12/03:19:40     9.118     9.053    -4.515     19.94
     2022-01-12/03:19:50     9.116     9.050    -4.510     19.94
     2022-01-12/03:20:00     9.113     9.048    -4.505     19.94
     2022-01-12/03:20:10     9.110     9.045    -4.501     19.94
     2022-01-12/03:20:20     9.108     9.043    -4.496     19.94
     2022-01-12/03:20:30     9.105     9.040    -4.491     19.94
     2022-01-12/03:20:40     9.103     9.038    -4.486     19.94
     2022-01-12/03:20:50     9.100     9.035    -4.481     19.94
     2022-01-12/03:21:00     9.097     9.033    -4.476     19.93
     2022-01-12/03:21:10     9.095     9.030    -4.472     19.93
     2022-01-12/03:21:20     9.092     9.028    -4.467     19.93
     2022-01-12/03:21:30     9.090     9.025    -4.462     19.93
     2022-01-12/03:21:40     9.087     9.023    -4.456     19.93
     2022-01-12/03:21:50     9.084     9.020    -4.451     19.93
     2022-01-12/03:22:00     9.082     9.018    -4.446     19.93
     2022-01-12/03:22:10     9.079     9.015    -4.441     19.93
     2022-01-12/03:22:20     9.077     9.013    -4.436     19.93
     2022-01-12/03:22:30     9.074     9.010    -4.431     19.93
     2022-01-12/03:22:40     9.071     9.008    -4.425     19.93
     2022-01-12/03:22:50     9.069     9.005    -4.420     19.93
     2022-01-12/03:23:00     9.066     9.003    -4.415     19.93
     2022-01-12/03:23:10     9.064     9.001    -4.409     19.93
     2022-01-12/03:23:20     9.061     8.998    -4.404     19.93
     2022-01-12/03:23:30     9.058     8.996    -4.398     19.93
     2022-01-12/03:23:40     9.056     8.993    -4.393     19.93
     2022-01-12/03:23:50     9.053     8.991    -4.387     19.93
     2022-01-12/03:24:00     9.051     8.988    -4.382     19.93
     2022-01-12/03:24:10     9.048     8.986    -4.376     19.93
     2022-01-12/03:24:20     9.045     8.983    -4.371     19.93
     2022-01-12/03:24:30     9.043     8.981    -4.365     19.93
     2022-01-12/03:24:40     9.040     8.978    -4.359     19.93
     2022-01-12/03:24:50     9.037     8.976    -4.354     19.93
     2022-01-12/03:25:00     9.035     8.973    -4.348     19.93
     2022-01-12/03:25:10     9.032     8.971    -4.342     19.93
     2022-01-12/03:25:20     9.030     8.968    -4.336     19.93
     2022-01-12/03:25:30     9.027     8.966    -4.330     19.93
     2022-01-12/03:25:40     9.024     8.963    -4.324     19.93
     2022-01-12/03:25:50     9.022     8.961    -4.318     19.93
     2022-01-12/03:26:00     9.019     8.958    -4.312     19.93
     2022-01-12/03:26:10     9.016     8.956    -4.306     19.93
     2022-01-12/03:26:20     9.014     8.953    -4.300     19.93
     2022-01-12/03:26:30     9.011     8.951    -4.294     19.93
     2022-01-12/03:26:40     9.009     8.948    -4.288     19.93
     2022-01-12/03:26:50     9.006     8.946    -4.282     19.93
     2022-01-12/03:27:00     9.003     8.943    -4.276     19.93
     2022-01-12/03:27:10     9.001     8.941    -4.270     19.93
     2022-01-12/03:27:20     8.998     8.938    -4.263     19.93
     2022-01-12/03:27:30     8.995     8.936    -4.257     19.93
     2022-01-12/03:27:40     8.993     8.933    -4.251     19.93
     2022-01-12/03:27:50     8.990     8.931    -4.244     19.93
     2022-01-12/03:28:00     8.988     8.929    -4.238     19.93
     2022-01-12/03:28:10     8.985     8.926    -4.231     19.93
     2022-01-12/03:28:20     8.982     8.924    -4.225     19.93
     2022-01-12/03:28:30     8.980     8.921    -4.218     19.93
     2022-01-12/03:28:40     8.977     8.919    -4.212     19.93
     2022-01-12/03:28:50     8.974     8.916    -4.205     19.93
     2022-01-12/03:29:00     8.972     8.914    -4.199     19.93
     2022-01-12/03:29:10     8.969     8.911    -4.192     19.93
     2022-01-12/03:29:20     8.966     8.909    -4.185     19.93
     2022-01-12/03:29:30     8.964     8.906    -4.179     19.93
     2022-01-12/03:29:40     8.961     8.904    -4.172     19.93
     2022-01-12/03:29:50     8.958     8.901    -4.165     19.93
     2022-01-12/03:30:00     8.956     8.899    -4.158     19.93
     2022-01-12/03:30:10     8.953     8.896    -4.151     19.93
     2022-01-12/03:30:20     8.950     8.894    -4.144     19.93
     2022-01-12/03:30:30     8.948     8.891    -4.137     19.93
     2022-01-12/03:30:40     8.945     8.889    -4.131     19.93
     2022-01-12/03:30:50     8.943     8.886    -4.123     19.93
     2022-01-12/03:31:00     8.940     8.884    -4.116     19.93
     2022-01-12/03:31:10     8.937     8.881    -4.109     19.93
     2022-01-12/03:31:20     8.935     8.879    -4.102     19.93
     2022-01-12/03:31:30     8.932     8.876    -4.095     19.93
     2022-01-12/03:31:40     8.929     8.874    -4.088     19.93
     2022-01-12/03:31:50     8.927     8.871    -4.081     19.93
     2022-01-12/03:32:00     8.924     8.869    -4.073     19.93
     2022-01-12/03:32:10     8.921     8.866    -4.066     19.93
     2022-01-12/03:32:20     8.919     8.864    -4.059     19.93
     2022-01-12/03:32:30     8.916     8.861    -4.051     19.93
     2022-01-12/03:32:40     8.913     8.859    -4.044     19.93
     2022-01-12/03:32:50     8.911     8.856    -4.037     19.93
     2022-01-12/03:33:00     8.908     8.854    -4.029     19.93
     2022-01-12/03:33:10     8.905     8.851    -4.022     19.93
     2022-01-12/03:33:20     8.903     8.849    -4.014     19.93
     2022-01-12/03:33:30     8.900     8.846    -4.006     19.93
     2022-01-12/03:33:40     8.897     8.844    -3.999     19.93
     2022-01-12/03:33:50     8.895     8.841    -3.991     19.93
     2022-01-12/03:34:00     8.892     8.839    -3.984     19.93
     2022-01-12/03:34:10     8.889     8.836    -3.976     19.93
     2022-01-12/03:34:20     8.887     8.834    -3.968     19.93
     2022-01-12/03:34:30     8.884     8.831    -3.960     19.93
     2022-01-12/03:34:40     8.881     8.829    -3.952     19.93
     2022-01-12/03:34:50     8.879     8.826    -3.945     19.93
     2022-01-12/03:35:00     8.876     8.824    -3.937     19.93
     2022-01-12/03:35:10     8.873     8.821    -3.929     19.93
     2022-01-12/03:35:20     8.870     8.819    -3.921     19.93
     2022-01-12/03:35:30     8.868     8.816    -3.913     19.93
     2022-01-12/03:35:40     8.865     8.814    -3.905     19.93
     2022-01-12/03:35:50     8.862     8.811    -3.897     19.93
     2022-01-12/03:36:00     8.860     8.809    -3.889     19.93
     2022-01-12/03:36:10     8.857     8.806    -3.880     19.93
     2022-01-12/03:36:20     8.854     8.804    -3.872     19.93
     2022-01-12/03:36:30     8.852     8.801    -3.864     19.93
     2022-01-12/03:36:40     8.849     8.799    -3.856     19.93
     2022-01-12/03:36:50     8.846     8.796    -3.847     19.93
     2022-01-12/03:37:00     8.844     8.794    -3.839     19.93
     2022-01-12/03:37:10     8.841     8.791    -3.831     19.93
     2022-01-12/03:37:20     8.838     8.789    -3.822     19.93
     2022-01-12/03:37:30     8.836     8.786    -3.814     19.93
     2022-01-12/03:37:40     8.833     8.784    -3.805     19.93
     2022-01-12/03:37:50     8.830     8.781    -3.797     19.93
     2022-01-12/03:38:00     8.828     8.779    -3.788     19.93
     2022-01-12/03:38:10     8.825     8.776    -3.780     19.93
     2022-01-12/03:38:20     8.822     8.774    -3.771     19.93
     2022-01-12/03:38:30     8.819     8.771    -3.763     19.93
     2022-01-12/03:38:40     8.817     8.769    -3.754     19.93
     2022-01-12/03:38:50     8.814     8.766    -3.745     19.93
     2022-01-12/03:39:00     8.811     8.764    -3.736     19.93
     2022-01-12/03:39:10     8.809     8.761    -3.728     19.93
     2022-01-12/03:39:20     8.806     8.758    -3.719     19.93
     2022-01-12/03:39:30     8.803     8.756    -3.710     19.93
     2022-01-12/03:39:40     8.801     8.753    -3.701     19.93
     2022-01-12/03:39:50     8.798     8.751    -3.692     19.93
     2022-01-12/03:40:00     8.795     8.748    -3.683     19.93
     2022-01-12/03:40:10     8.792     8.746    -3.674     19.93
     2022-01-12/03:40:20     8.790     8.743    -3.665     19.93
     2022-01-12/03:40:30     8.787     8.741    -3.656     19.93
     2022-01-12/03:40:40     8.784     8.738    -3.647     19.93
     2022-01-12/03:40:50     8.782     8.736    -3.638     19.93
     2022-01-12/03:41:00     8.779     8.733    -3.629     19.93
     2022-01-12/03:41:10     8.776     8.731    -3.620     19.93
     2022-01-12/03:41:20     8.774     8.728    -3.610     19.93
     2022-01-12/03:41:30     8.771     8.726    -3.601     19.93
     2022-01-12/03:41:40     8.768     8.723    -3.592     19.93
     2022-01-12/03:41:50     8.765     8.721    -3.582     19.93
     2022-01-12/03:42:00     8.763     8.718    -3.573     19.93
     2022-01-12/03:42:10     8.760     8.716    -3.564     19.93
     2022-01-12/03:42:20     8.757     8.713    -3.554     19.93
     2022-01-12/03:42:30     8.755     8.711    -3.545     19.93
     2022-01-12/03:42:40     8.752     8.708    -3.535     19.93
     2022-01-12/03:42:50     8.749     8.706    -3.526     19.93
     2022-01-12/03:43:00     8.746     8.703    -3.516     19.93
     2022-01-12/03:43:10     8.744     8.701    -3.506     19.93
     2022-01-12/03:43:20     8.741     8.698    -3.497     19.93
     2022-01-12/03:43:30     8.738     8.696    -3.487     19.93
     2022-01-12/03:43:40     8.736     8.693    -3.477     19.93
     2022-01-12/03:43:50     8.733     8.691    -3.467     19.93
     2022-01-12/03:44:00     8.730     8.688    -3.458     19.93
     2022-01-12/03:44:10     8.727     8.686    -3.448     19.93
     2022-01-12/03:44:20     8.725     8.683    -3.438     19.93
     2022-01-12/03:44:30     8.722     8.680    -3.428     19.93
     2022-01-12/03:44:40     8.719     8.678    -3.418     19.93
     2022-01-12/03:44:50     8.717     8.675    -3.408     19.93
     2022-01-12/03:45:00     8.714     8.673    -3.398     19.93
     2022-01-12/03:45:10     8.711     8.670    -3.388     19.93
     2022-01-12/03:45:20     8.708     8.668    -3.378     19.93
     2022-01-12/03:45:30     8.706     8.665    -3.368     19.93
     2022-01-12/03:45:40     8.703     8.663    -3.358     19.93
     2022-01-12/03:45:50     8.700     8.660    -3.347     19.93
     2022-01-12/03:46:00     8.697     8.658    -3.337     19.93
     2022-01-12/03:46:10     8.695     8.655    -3.327     19.93
     2022-01-12/03:46:20     8.692     8.653    -3.317     19.93
     2022-01-12/03:46:30     8.689     8.650    -3.306     19.93
     2022-01-12/03:46:40     8.687     8.648    -3.296     19.93
     2022-01-12/03:46:50     8.684     8.645    -3.286     19.93
     2022-01-12/03:47:00     8.681     8.643    -3.275     19.93
     2022-01-12/03:47:10     8.678     8.640    -3.265     19.93
     2022-01-12/03:47:20     8.676     8.638    -3.254     19.93
     2022-01-12/03:47:30     8.673     8.635    -3.244     19.93
     2022-01-12/03:47:40     8.670     8.632    -3.233     19.93
     2022-01-12/03:47:50     8.667     8.630    -3.222     19.93
     2022-01-12/03:48:00     8.665     8.627    -3.212     19.93
     2022-01-12/03:48:10     8.662     8.625    -3.201     19.93
     2022-01-12/03:48:20     8.659     8.622    -3.190     19.93
     2022-01-12/03:48:30     8.657     8.620    -3.180     19.93
     2022-01-12/03:48:40     8.654     8.617    -3.169     19.93
     2022-01-12/03:48:50     8.651     8.615    -3.158     19.93
     2022-01-12/03:49:00     8.648     8.612    -3.147     19.93
     2022-01-12/03:49:10     8.646     8.610    -3.136     19.93
     2022-01-12/03:49:20     8.643     8.607    -3.125     19.93
     2022-01-12/03:49:30     8.640     8.605    -3.115     19.93
     2022-01-12/03:49:40     8.637     8.602    -3.104     19.93
     2022-01-12/03:49:50     8.635     8.600    -3.092     19.93
     2022-01-12/03:50:00     8.632     8.597    -3.081     19.93
