time                             Energy            Daa
2022-01-12/01:28:45          2.180 0.0001767
2022-01-12/01:28:45          2.715 0.0003226
2022-01-12/01:28:45          3.375 0.0003088
2022-01-12/01:28:45          4.202 0.0002644
2022-01-12/01:28:45          5.232 0.0002084
2022-01-12/01:28:45          6.521 0.0001540
2022-01-12/01:28:45          8.126 0.0001127
2022-01-12/01:28:45          10.11 7.947e-05
2022-01-12/01:28:45          12.59 8.436e-05
2022-01-12/01:28:45          15.68 6.447e-05
2022-01-12/01:28:45          19.53 5.712e-05
2022-01-12/01:28:45          24.32 5.247e-05
2022-01-12/01:28:45          39.23 2.382e-05
2022-01-12/01:28:45          46.73 1.567e-05
2022-01-12/01:28:45          56.30 1.009e-05
2022-01-12/01:28:45          67.84 7.263e-06
2022-01-12/01:28:45          81.77 6.268e-06
2022-01-12/01:28:45          98.36 6.109e-06
2022-01-12/01:28:45          118.6 4.447e-06
2022-01-12/01:28:45          142.9 3.134e-06
2022-01-12/01:28:45          171.8 2.351e-06
2022-01-12/01:28:45          206.7 1.939e-06
2022-01-12/01:28:45          247.6 1.515e-06
2022-01-12/01:28:45          295.9 1.288e-06
2022-01-12/01:28:45          353.2 1.050e-06
2022-01-12/01:28:45          421.5 8.350e-07
2022-01-12/01:28:45          504.2 7.046e-07
2022-01-12/01:28:45          605.4 5.694e-07
2022-01-12/01:28:45          731.8 4.616e-07
2022-01-12/01:28:45          972.3 3.302e-07
2022-01-12/01:29:15        0.03075     0.000
2022-01-12/01:29:15        0.03242     0.000
2022-01-12/01:29:15        0.04127     0.000
2022-01-12/01:29:15        0.05200     0.000
2022-01-12/01:29:15        0.06481     0.000
2022-01-12/01:29:15        0.08088     0.000
2022-01-12/01:29:15         0.1005     0.000
2022-01-12/01:29:15         0.1256     0.000
2022-01-12/01:29:15         0.1565     0.000
2022-01-12/01:29:15         0.1950 8.035e-08
2022-01-12/01:29:15         0.2432 9.689e-07
2022-01-12/01:29:15         0.3030 4.236e-06
2022-01-12/01:29:15         0.3776 8.332e-06
2022-01-12/01:29:15         0.4700 1.354e-05
2022-01-12/01:29:15         0.5855 2.338e-05
2022-01-12/01:29:15         0.7291 3.106e-05
2022-01-12/01:29:15         0.9078 3.483e-05
2022-01-12/01:29:15          1.129 3.577e-05
2022-01-12/01:29:15          1.406 3.432e-05
2022-01-12/01:29:15          1.751 3.193e-05
2022-01-12/01:29:15          2.180 0.0001550
2022-01-12/01:29:15          2.715 0.0003516
2022-01-12/01:29:15          3.375 0.0003282
2022-01-12/01:29:15          4.202 0.0002667
2022-01-12/01:29:15          5.232 0.0001961
2022-01-12/01:29:15          6.521 0.0001328
2022-01-12/01:29:15          8.126 8.739e-05
2022-01-12/01:29:15          10.11 5.637e-05
2022-01-12/01:29:15          12.59 6.507e-05
2022-01-12/01:29:15          15.68 4.893e-05
2022-01-12/01:29:15          19.53 3.838e-05
2022-01-12/01:29:15          24.32 2.992e-05
2022-01-12/01:29:15          39.23 1.306e-05
2022-01-12/01:29:15          46.73 9.189e-06
2022-01-12/01:29:15          56.30 6.216e-06
2022-01-12/01:29:15          67.84 4.304e-06
2022-01-12/01:29:15          81.77 3.264e-06
2022-01-12/01:29:15          98.36 3.117e-06
2022-01-12/01:29:15          118.6 2.297e-06
2022-01-12/01:29:15          142.9 1.620e-06
2022-01-12/01:29:15          171.8 1.169e-06
2022-01-12/01:29:15          206.7 8.877e-07
2022-01-12/01:29:15          247.6 6.608e-07
2022-01-12/01:29:15          295.9 5.989e-07
2022-01-12/01:29:15          353.2 5.060e-07
2022-01-12/01:29:15          421.5 4.047e-07
2022-01-12/01:29:15          504.2 3.424e-07
2022-01-12/01:29:15          605.4 2.804e-07
2022-01-12/01:29:15          731.8 2.324e-07
2022-01-12/01:29:15          972.3 1.744e-07
2022-01-12/01:29:45        0.03075     0.000
2022-01-12/01:29:45        0.03242     0.000
2022-01-12/01:29:45        0.04127     0.000
2022-01-12/01:29:45        0.05200     0.000
2022-01-12/01:29:45        0.06481     0.000
2022-01-12/01:29:45        0.08088     0.000
2022-01-12/01:29:45         0.1005     0.000
2022-01-12/01:29:45         0.1256     0.000
2022-01-12/01:29:45         0.1565     0.000
2022-01-12/01:29:45         0.1950 8.384e-08
2022-01-12/01:29:45         0.2432 1.035e-06
2022-01-12/01:29:45         0.3030 4.603e-06
2022-01-12/01:29:45         0.3776 9.177e-06
2022-01-12/01:29:45         0.4700 1.555e-05
2022-01-12/01:29:45         0.5855 3.294e-05
2022-01-12/01:29:45         0.7291 4.586e-05
2022-01-12/01:29:45         0.9078 5.088e-05
2022-01-12/01:29:45          1.129 5.096e-05
2022-01-12/01:29:45          1.406 4.725e-05
2022-01-12/01:29:45          1.751 4.207e-05
2022-01-12/01:29:45          2.180 0.0002420
2022-01-12/01:29:45          2.715 0.0005621
2022-01-12/01:29:45          3.375 0.0005225
2022-01-12/01:29:45          4.202 0.0004216
2022-01-12/01:29:45          5.232 0.0003077
2022-01-12/01:29:45          6.521 0.0002064
2022-01-12/01:29:45          8.126 0.0001367
2022-01-12/01:29:45          10.11 8.912e-05
2022-01-12/01:29:45          12.59 0.0001190
2022-01-12/01:29:45          15.68 9.201e-05
2022-01-12/01:29:45          19.53 7.188e-05
2022-01-12/01:29:45          24.32 5.378e-05
2022-01-12/01:29:45          39.23 2.455e-05
2022-01-12/01:29:45          46.73 1.818e-05
2022-01-12/01:29:45          56.30 1.278e-05
2022-01-12/01:29:45          67.84 8.791e-06
2022-01-12/01:29:45          81.77 6.174e-06
2022-01-12/01:29:45          98.36 5.349e-06
2022-01-12/01:29:45          118.6 3.887e-06
2022-01-12/01:29:45          142.9 2.786e-06
2022-01-12/01:29:45          171.8 2.051e-06
2022-01-12/01:29:45          206.7 1.550e-06
2022-01-12/01:29:45          247.6 1.154e-06
2022-01-12/01:29:45          295.9 1.032e-06
2022-01-12/01:29:45          353.2 8.705e-07
2022-01-12/01:29:45          421.5 6.994e-07
2022-01-12/01:29:45          504.2 5.884e-07
2022-01-12/01:29:45          605.4 4.819e-07
2022-01-12/01:29:45          731.8 3.955e-07
2022-01-12/01:29:45          972.3 2.936e-07
2022-01-12/01:30:15        0.03075     0.000
2022-01-12/01:30:15        0.03242     0.000
2022-01-12/01:30:15        0.04127     0.000
2022-01-12/01:30:15        0.05200     0.000
2022-01-12/01:30:15        0.06481     0.000
2022-01-12/01:30:15        0.08088     0.000
2022-01-12/01:30:15         0.1005     0.000
2022-01-12/01:30:15         0.1256     0.000
2022-01-12/01:30:15         0.1565     0.000
2022-01-12/01:30:15         0.1950 2.265e-11
2022-01-12/01:30:15         0.2432 4.209e-09
2022-01-12/01:30:15         0.3030 3.062e-08
2022-01-12/01:30:15         0.3776 7.997e-08
2022-01-12/01:30:15         0.4700 7.451e-07
2022-01-12/01:30:15         0.5855 6.829e-06
2022-01-12/01:30:15         0.7291 1.107e-05
2022-01-12/01:30:15         0.9078 1.204e-05
2022-01-12/01:30:15          1.129 1.133e-05
2022-01-12/01:30:15          1.406 9.500e-06
2022-01-12/01:30:15          1.751 7.269e-06
2022-01-12/01:30:15          2.180 0.0001656
2022-01-12/01:30:15          2.715 0.0004174
2022-01-12/01:30:15          3.375 0.0003860
2022-01-12/01:30:15          4.202 0.0003069
