Time                             Mshell         energy           flux
2022-01-12/00:48:15          12.07    0.3030     0.000
2022-01-12/00:48:15          12.07    0.3776     0.000
2022-01-12/00:48:15          12.07    0.4700     0.000
2022-01-12/00:48:15          12.07    0.5855     0.000
2022-01-12/00:48:15          12.07    0.7291     0.000
2022-01-12/00:48:15          12.07    0.9078     0.000
2022-01-12/00:48:15          12.07     1.129     0.000
2022-01-12/00:48:15          12.07     1.406     0.000
2022-01-12/00:48:15          12.07     1.751     0.000
2022-01-12/00:48:15          12.07     2.180     0.000
2022-01-12/00:48:15          12.07     2.715     0.000
2022-01-12/00:48:15          12.07     3.375     0.000
2022-01-12/00:48:15          12.07     4.202     0.000
2022-01-12/00:48:15          12.07     5.232     0.000
2022-01-12/00:48:15          12.07     6.521     0.000
2022-01-12/00:48:15          12.07     8.126     0.000
2022-01-12/00:48:15          12.07     10.11     0.000
2022-01-12/00:48:15          12.07     12.59     0.000
2022-01-12/00:48:15          12.07     15.68     0.000
2022-01-12/00:48:15          12.07     19.53     0.000
2022-01-12/00:48:15          12.07     24.32     0.000
2022-01-12/00:48:15          12.07     39.23     0.000
2022-01-12/00:48:15          12.07     46.73     0.000
2022-01-12/00:48:15          12.07     56.30     0.000
2022-01-12/00:48:15          12.07     67.84     0.000
2022-01-12/00:48:15          12.07     81.77     0.000
2022-01-12/00:48:15          12.07     98.36     0.000
2022-01-12/00:48:15          12.07     118.6     0.000
2022-01-12/00:48:15          12.07     142.9     0.000
2022-01-12/00:48:15          12.07     171.8     0.000
2022-01-12/00:48:15          12.07     206.7     0.000
2022-01-12/00:48:15          12.07     247.6     0.000
2022-01-12/00:48:15          12.07     295.9     0.000
2022-01-12/00:48:15          12.07     353.2     0.000
2022-01-12/00:48:15          12.07     421.5     0.000
2022-01-12/00:48:15          12.07     504.2     0.000
2022-01-12/00:48:15          12.07     605.4     0.000
2022-01-12/00:48:15          12.07     731.8     0.000
2022-01-12/00:48:15          12.07     972.3     0.000
2022-01-12/00:48:45          12.07   0.03075     0.000
2022-01-12/00:48:45          12.07   0.03242     0.000
2022-01-12/00:48:45          12.07   0.04127     0.000
2022-01-12/00:48:45          12.07   0.05200     0.000
2022-01-12/00:48:45          12.07   0.06481     0.000
2022-01-12/00:48:45          12.07   0.08088     0.000
2022-01-12/00:48:45          12.07    0.1005     0.000
2022-01-12/00:48:45          12.07    0.1256     0.000
2022-01-12/00:48:45          12.07    0.1565     0.000
2022-01-12/00:48:45          12.07    0.1950     0.000
2022-01-12/00:48:45          12.07    0.2432 1.351e+06
2022-01-12/00:48:45          12.07    0.3030 1.919e+06
2022-01-12/00:48:45          12.07    0.3776 1.739e+06
2022-01-12/00:48:45          12.07    0.4700 1.713e+06
2022-01-12/00:48:45          12.07    0.5855 2.641e+06
2022-01-12/00:48:45          12.07    0.7291 2.201e+06
2022-01-12/00:48:45          12.07    0.9078 1.458e+06
2022-01-12/00:48:45          12.07     1.129 1.065e+06
2022-01-12/00:48:45          12.07     1.406 8.459e+05
2022-01-12/00:48:45          12.07     1.751 4.052e+05
2022-01-12/00:48:45          12.07     2.180 5.418e+05
2022-01-12/00:48:45          12.07     2.715 6.624e+05
2022-01-12/00:48:45          12.07     3.375 2.917e+05
2022-01-12/00:48:45          12.07     4.202 3.038e+05
2022-01-12/00:48:45          12.07     5.232 2.840e+05
2022-01-12/00:48:45          12.07     6.521 1.700e+05
2022-01-12/00:48:45          12.07     8.126 1.049e+05
2022-01-12/00:48:45          12.07     10.11 7.314e+04
2022-01-12/00:48:45          12.07     12.59 6.944e+04
2022-01-12/00:48:45          12.07     15.68 8.131e+04
2022-01-12/00:48:45          12.07     19.53 6.029e+04
2022-01-12/00:48:45          12.07     24.32 4.149e+04
2022-01-12/00:48:45          12.07     39.23 1.040e+04
2022-01-12/00:48:45          12.07     46.73     5994.
2022-01-12/00:48:45          12.07     56.30     4270.
2022-01-12/00:48:45          12.07     67.84     2962.
2022-01-12/00:48:45          12.07     81.77     2086.
2022-01-12/00:48:45          12.07     98.36     1876.
2022-01-12/00:48:45          12.07     118.6     1483.
2022-01-12/00:48:45          12.07     142.9     1173.
2022-01-12/00:48:45          12.07     171.8     978.8
2022-01-12/00:48:45          12.07     206.7     833.1
